Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.380 (48);  11.212 (52);  21.592
10-19;  23.319 (49);  24.641 (51);  47.960
20-29;  28.720 (50);  28.813 (50);  57.533
30-39;  20.253 (50);  20.115 (50);  40.368
40-49;  22.318 (52);  20.202 (48);  42.520
50-59;  20.351 (51);  19.820 (49);  40.171
60-69;  10.164 (48);  10.864 (52);  21.028
70-79;   5.975 (49);   6.145 (51);  12.120
80-89;   3.492 (58);   2.557 (42);   6.049
90+;   1.322 (70);     557 (30);   1.879
I alt; 146.294 (50); 144.926 (50); 291.220
