Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     535 (49);     562 (51);   1.097
10-19;   1.538 (49);   1.593 (51);   3.131
20-29;   2.794 (53);   2.473 (47);   5.267
30-39;   2.087 (54);   1.799 (46);   3.886
40-49;   2.393 (56);   1.910 (44);   4.303
50-59;   2.323 (54);   1.990 (46);   4.313
60-69;   1.194 (48);   1.271 (52);   2.465
70-79;     766 (47);     875 (53);   1.641
80-89;     591 (57);     450 (43);   1.041
90+;     229 (72);      91 (28);     320
I alt;  14.450 (53);  13.014 (47);  27.464
