"Målgruppe","Ansættelsessted","Bopælsregion","Population","Antal førstevaccinerede","Antal færdigvaccinerede","Førstegangs vaccinerede dækning (%)","Færdigvaccinerede dækning (%)"
,,Hovedstaden,15,0,15,0.0,99.0
,,Midtjylland,1,0,1,0.0,99.0
,,Sjælland,3,0,3,0.0,99.0
,,Syddanmark,3,0,3,0.0,99.0
1. Plejehjemsbeboere,,Hovedstaden,12712,12173,11858,95.8,93.3
1. Plejehjemsbeboere,,Midtjylland,9774,9399,9198,96.2,94.1
1. Plejehjemsbeboere,,Nordjylland,5356,5129,4991,95.8,93.2
1. Plejehjemsbeboere,,Sjælland,5785,5492,5324,94.9,92.0
1. Plejehjemsbeboere,,Syddanmark,9437,8943,8698,94.8,92.2
"2. Borgere > 65, praktisk hjælp og personlig pleje",,Hovedstaden,16489,14808,14171,89.8,85.9
"2. Borgere > 65, praktisk hjælp og personlig pleje",,Midtjylland,10538,9778,9475,92.8,89.9
"2. Borgere > 65, praktisk hjælp og personlig pleje",,Nordjylland,5907,5455,5297,92.3,89.7
"2. Borgere > 65, praktisk hjælp og personlig pleje",,Sjælland,10006,9105,8727,91.0,87.2
"2. Borgere > 65, praktisk hjælp og personlig pleje",,Syddanmark,14138,13061,12675,92.4,89.7
3. Borgere fra årgang 1936 og derunder (85 år og ældre),,Hovedstaden,25764,24443,24059,94.9,93.4
3. Borgere fra årgang 1936 og derunder (85 år og ældre),,Midtjylland,22085,21177,20911,95.9,94.7
3. Borgere fra årgang 1936 og derunder (85 år og ældre),,Nordjylland,11062,10560,10442,95.5,94.4
3. Borgere fra årgang 1936 og derunder (85 år og ældre),,Sjælland,14631,13830,13603,94.5,93.0
3. Borgere fra årgang 1936 og derunder (85 år og ældre),,Syddanmark,22810,21724,21415,95.2,93.9
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Almen praksis,Hovedstaden,1759,1731,1537,98.4,87.4
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Almen praksis,Midtjylland,1693,1673,1511,98.8,89.2
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Almen praksis,Nordjylland,725,701,675,96.7,93.1
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Almen praksis,Sjælland,978,959,837,98.1,85.6
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Almen praksis,Syddanmark,1425,1403,1251,98.5,87.8
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Andet frontpersonale,Hovedstaden,19771,19120,13079,96.7,66.2
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Andet frontpersonale,Midtjylland,13529,12863,6619,95.1,48.9
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Andet frontpersonale,Nordjylland,6309,5878,4724,93.2,74.9
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Andet frontpersonale,Sjælland,9789,9578,6433,97.8,65.7
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Andet frontpersonale,Syddanmark,10300,9934,5661,96.4,55.0
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Daginstitutioner og dagcentre mv.,Hovedstaden,8376,8005,5459,95.6,65.2
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Daginstitutioner og dagcentre mv.,Midtjylland,5855,5512,3702,94.1,63.2
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Daginstitutioner og dagcentre mv.,Nordjylland,3921,3654,2942,93.2,75.0
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Daginstitutioner og dagcentre mv.,Sjælland,4596,4516,3308,98.3,72.0
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Daginstitutioner og dagcentre mv.,Syddanmark,6305,6013,4079,95.4,64.7
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Døgninstitutioner for voksne,Hovedstaden,8609,8355,6571,97.0,76.3
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Døgninstitutioner for voksne,Midtjylland,8241,8014,5232,97.2,63.5
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Døgninstitutioner for voksne,Nordjylland,4180,4020,3392,96.2,81.1
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Døgninstitutioner for voksne,Sjælland,5277,5206,4015,98.7,76.1
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Døgninstitutioner for voksne,Syddanmark,6685,6526,4287,97.6,64.1
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Hospitaler,Hovedstaden,30977,30321,25895,97.9,83.6
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Hospitaler,Midtjylland,23245,22596,17625,97.2,75.8
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Hospitaler,Nordjylland,9258,8952,8053,96.7,87.0
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Hospitaler,Sjælland,12638,12412,11125,98.2,88.0
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Hospitaler,Syddanmark,18063,17537,14584,97.1,80.7
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Plejehjem,Hovedstaden,12840,12710,11338,99.0,88.3
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Plejehjem,Midtjylland,13430,13175,11534,98.1,85.9
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Plejehjem,Nordjylland,6154,6033,5674,98.0,92.2
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Plejehjem,Sjælland,7460,7385,5997,99.0,80.4
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Plejehjem,Syddanmark,10843,10696,9346,98.6,86.2
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Praktiserende speciallæger,Hovedstaden,1366,1334,827,97.7,60.5
4. Personale i sundhedsvæsenet og dele af socialvæsenet,Praktiserende speciallæger,Midtjylland,540,516,153,95.6,28.3
