Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.331 (48);  14.267 (52);  27.598
10-19;  29.453 (49);  30.560 (51);  60.013
20-29;  36.930 (49);  38.812 (51);  75.742
30-39;  24.520 (50);  24.615 (50);  49.135
40-49;  25.477 (53);  22.879 (47);  48.356
50-59;  22.035 (51);  21.464 (49);  43.499
60-69;  10.858 (49);  11.523 (51);  22.381
70-79;   6.334 (49);   6.533 (51);  12.867
80-89;   3.661 (58);   2.703 (42);   6.364
90+;   1.372 (70);     582 (30);   1.954
I alt; 173.971 (50); 173.938 (50); 347.909
