Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   7.372 (48);   8.028 (52);  15.400
10-19;  16.626 (49);  17.399 (51);  34.025
20-29;  21.296 (51);  20.249 (49);  41.545
30-39;  15.615 (51);  14.899 (49);  30.514
40-49;  17.345 (53);  15.137 (47);  32.482
50-59;  16.507 (52);  15.336 (48);  31.843
60-69;   8.562 (49);   8.996 (51);  17.558
70-79;   5.378 (49);   5.532 (51);  10.910
80-89;   3.330 (58);   2.430 (42);   5.760
90+;   1.277 (71);     528 (29);   1.805
I alt; 113.308 (51); 108.534 (49); 221.842
