Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     116 (52);     107 (48);     223
10-19;     255 (55);     210 (45);     465
20-29;     906 (62);     554 (38);   1.460
30-39;     943 (62);     578 (38);   1.521
40-49;   1.167 (60);     768 (40);   1.935
50-59;   1.200 (60);     799 (40);   1.999
60-69;     628 (49);     641 (51);   1.269
70-79;     422 (45);     510 (55);     932
80-89;     423 (57);     324 (43);     747
90+;     174 (72);      66 (28);     240
I alt;   6.234 (58);   4.557 (42);  10.791
