"Vaccinenavn","Regionsnavn","Antal første vacc.","Antal faerdigvacc."
AstraZeneca Covid-19 vaccine,Nordjylland,16930,12
AstraZeneca Covid-19 vaccine,Midtjylland,33814,49
AstraZeneca Covid-19 vaccine,Syddanmark,30651,404
AstraZeneca Covid-19 vaccine,Hovedstaden,45719,399
AstraZeneca Covid-19 vaccine,Sjælland,23929,367
Janssen COVID-19 vaccine,Nordjylland,3176,3176
Janssen COVID-19 vaccine,Midtjylland,8368,8368
Janssen COVID-19 vaccine,Syddanmark,6125,6125
Janssen COVID-19 vaccine,Hovedstaden,19950,19950
Janssen COVID-19 vaccine,Sjælland,2438,2438
Moderna Covid-19 Vaccine,Nordjylland,32004,14329
Moderna Covid-19 Vaccine,Midtjylland,45805,24752
Moderna Covid-19 Vaccine,Syddanmark,49732,53012
Moderna Covid-19 Vaccine,Hovedstaden,39658,35209
Moderna Covid-19 Vaccine,Sjælland,49942,48067
Pfizer BioNTech Covid-19 vacc,Nordjylland,249011,151121
Pfizer BioNTech Covid-19 vacc,Midtjylland,577572,334933
Pfizer BioNTech Covid-19 vacc,Syddanmark,533123,286746
Pfizer BioNTech Covid-19 vacc,Hovedstaden,849793,445781
Pfizer BioNTech Covid-19 vacc,Sjælland,393073,205856
