Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 05-2022;1031746;100486;4744719;1326429;3382363;831134;71677;4170010;1041771;3103432;51725;4434;223592;80388;141236;119268;11182;750817;196588;547494;102800;9152;694633;175041;513853;144064;13515;944976;240960;695514;5617;389;9921;4532;5264;590;43;1624;459;1152
Uge 04-2022;1034106;113489;4730141;1493121;3177139;852117;84769;4246820;1233848;2964883;58932;6731;214932;95670;115414;158864;18780;878012;283583;579104;136484;15710;811672;254258;543814;193992;22875;1105722;349723;736663;7005;477;10111;5576;4374;526;36;1302;491;794
Uge 03-2022;1039619;131490;4707124;1692181;2905723;869596;102705;4287287;1449728;2742827;62957;9073;194933;102490;84924;192302;28823;976875;367718;574324;166231;24847;903215;331600;539973;246651;37319;1277095;472903;757184;7904;500;9693;6144;3318;518;44;1019;459;546
Uge 02-2022;1049624;164818;4664319;1950172;2600419;894829;136874;4298150;1725800;2471042;43899;7751;119883;71655;42246;168812;33230;846670;363992;453572;147440;29547;784267;330567;426944;218797;43076;1096572;465508;592768;5262;360;6199;4352;1693;438;49;812;393;412
Uge 01-2022;1068328;224180;4587113;2350720;2174883;925535;194758;4255617;2124601;2076560;26711;5330;94606;66786;26190;136977;37927;834176;443402;379232;117949;33536;771854;403704;357862;175949;48626;1070416;564289;491249;3758;357;5892;4764;1047;346;38;733;402;324
Uge 52-2021;1090474;248748;4541916;3153695;1348476;957649;219882;4232982;2905378;1295145;21915;5411;91998;70596;20489;113827;37056;762538;525853;230795;100119;33355;709597;486812;218023;140938;45823;936693;640615;288879;2454;233;4379;3657;669;356;44;742;460;276
Uge 51-2021;1121994;236516;4523310;3465883;1013639;997343;209415;4232929;3221908;976034;14221;3622;58524;52376;5691;148022;49561;865685;660543;197563;133770;45059;806858;614435;186510;177262;58593;1033251;781650;242673;1027;122;2398;2157;206;314;28;487;355;123
Uge 50-2021;1204346;177397;4501219;3639602;819445;1083530;154526;4229921;3406677;789059;18873;4270;50055;46538;3191;219022;46594;920826;746304;166503;200399;41846;861365;697831;157111;292140;64278;1167335;939967;217101;747;90;1777;1645;102;282;26;474;369;102
Uge 49-2021;1275392;130109;4477960;3820865;626124;1158601;108930;4222934;3595638;601563;17995;2282;27358;25811;1353;233658;26500;845170;710134;129903;214957;22853;794641;667800;122558;316093;35703;1052240;879611;166078;345;41;430;390;39;241;17;411;349;61
Uge 48-2021;1315265;109834;4459348;3947312;490428;1201125;89830;4215376;3727313;470121;14768;929;18532;17767;686;227235;18466;786349;681982;101264;208863;15192;741145;643210;95358;303236;23674;949531;820018;125689;230;22;125;113;11;222;16;375;320;53
Uge 47-2021;1334443;102378;4448077;4029758;398341;1221684;84028;4212500;3814157;381787;12792;714;15310;14780;459;224687;16753;764764;679709;82203;207250;13913;722595;642785;77396;292936;20837;916791;811758;101571;208;12;100;94;6;220;14;330;303;27
Uge 46-2021;1357667;89195;4438333;4096094;325291;1243506;73935;4208868;3882787;312030;12507;700;14747;14292;396;218202;14319;712748;648774;61716;201220;12115;674388;614163;58301;283083;17631;853706;775407;75529;201;7;84;80;3;211;8;330;297;33
Uge 45-2021;1383604;72659;4429303;4168960;244668;1267348;60257;4203808;3955982;234810;10452;433;11715;11486;196;203277;10535;670153;626633;41476;187760;9077;634467;593566;39146;259726;12711;797460;745243;49717;174;7;61;60;1;145;15;291;269;22
Uge 44-2021;1394881;68280;4422710;4245374;160844;1278894;56459;4200135;4031935;154419;7597;250;8024;7891;108;149844;7103;527739;505852;20083;139153;6123;499789;479393;18863;193314;8557;630079;604335;23541;130;5;39;36;3;160;9;206;192;11
Uge 43-2021;1403574;67970;4415277;4281748;115570;1287802;56168;4195284;4069525;110652;5191;178;6432;6351;66;106475;5875;433240;420069;11620;98401;5096;410492;398328;10825;127119;6823;495146;480130;13206;107;3;39;38;1;113;3;182;167;15
Uge 42-2021;1409358;69796;4408008;4300926;85131;1293981;57658;4190276;4090424;81177;3744;141;4719;4659;45;84984;4952;326849;318335;7026;78639;4339;310403;302580;6501;98436;5634;362905;353484;7743;74;1;37;36;1;90;8;143;135;8
