Dato;Total;Heraf_ICU
2020-12-28;0;0
2020-12-29;0;0
2020-12-30;0;0
2020-12-31;0;0
2021-01-01;0;0
2021-01-02;0;0
2021-01-03;0;0
2021-01-04;0;0
2021-01-05;0;0
2021-01-06;0;0
2021-01-07;0;0
2021-01-08;0;0
2021-01-09;0;0
2021-01-10;0;0
2021-01-11;0;0
2021-01-12;0;0
2021-01-13;0;0
2021-01-14;0;0
2021-01-15;0;0
2021-01-16;0;0
2021-01-17;0;0
2021-01-18;0;0
2021-01-19;0;0
2021-01-20;0;0
2021-01-21;0;0
2021-01-22;0;0
2021-01-23;0;0
2021-01-24;0;0
2021-01-25;0;0
2021-01-26;0;0
2021-01-27;2;0
2021-01-28;2;0
2021-01-29;2;0
2021-01-30;2;0
2021-01-31;2;0
2021-02-01;2;0
2021-02-02;3;0
2021-02-03;3;0
2021-02-04;2;0
2021-02-05;4;0
2021-02-06;4;0
2021-02-07;5;0
2021-02-08;5;0
2021-02-09;5;0
2021-02-10;4;0
2021-02-11;3;0
2021-02-12;3;0
2021-02-13;3;0
2021-02-14;4;0
2021-02-15;4;0
2021-02-16;4;0
2021-02-17;1;0
2021-02-18;2;0
2021-02-19;4;0
2021-02-20;3;0
2021-02-21;2;0
2021-02-22;3;0
2021-02-23;5;0
2021-02-24;6;0
2021-02-25;6;0
2021-02-26;5;0
2021-02-27;4;0
2021-02-28;3;0
2021-03-01;2;0
2021-03-02;3;0
2021-03-03;3;0
2021-03-04;1;NA
2021-03-05;1;NA
2021-03-06;1;NA
