Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.739 (49);   1.822 (51);   3.561
10-19;   5.027 (48);   5.400 (52);  10.427
20-29;   6.607 (50);   6.488 (50);  13.095
30-39;   4.663 (51);   4.540 (49);   9.203
40-49;   5.325 (52);   4.903 (48);  10.228
50-59;   5.089 (51);   4.880 (49);   9.969
60-69;   2.524 (48);   2.769 (52);   5.293
70-79;   1.542 (47);   1.721 (53);   3.263
80-89;     892 (55);     716 (45);   1.608
90+;     328 (72);     130 (28);     458
I alt;  33.736 (50);  33.369 (50);  67.105
