Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     488 (49);     513 (51);   1.001
10-19;   1.364 (50);   1.385 (50);   2.749
20-29;   2.577 (53);   2.255 (47);   4.832
30-39;   1.960 (54);   1.691 (46);   3.651
40-49;   2.265 (56);   1.789 (44);   4.054
50-59;   2.207 (54);   1.866 (46);   4.073
60-69;   1.130 (48);   1.211 (52);   2.341
70-79;     726 (46);     851 (54);   1.577
80-89;     571 (57);     437 (43);   1.008
90+;     223 (72);      85 (28);     308
I alt;  13.511 (53);  12.083 (47);  25.594
