Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.158 (48);  11.012 (52);  21.170
10-19;  22.639 (49);  23.922 (51);  46.561
20-29;  27.850 (50);  27.847 (50);  55.697
30-39;  19.864 (50);  19.657 (50);  39.521
40-49;  21.892 (53);  19.776 (47);  41.668
50-59;  20.087 (51);  19.510 (49);  39.597
60-69;  10.075 (48);  10.779 (52);  20.854
70-79;   5.952 (49);   6.122 (51);  12.074
80-89;   3.482 (58);   2.549 (42);   6.031
90+;   1.318 (70);     553 (30);   1.871
I alt; 143.317 (50); 141.727 (50); 285.044
