Dato;Hovedstaden;Sjælland;Syddanmark;Midtjylland;Nordjylland
2017-10-31;1;0;0;0;0
2018-09-18;1;0;0;0;0
2020-12-25;0;1;0;0;0
2020-12-28;0;1;0;0;0
2020-12-29;1;0;0;0;0
2020-12-30;1;0;0;0;0
2020-12-31;1;0;0;1;0
2021-01-01;1;0;0;2;1
2021-01-02;1;2;1;0;2
2021-01-03;3;3;1;0;0
2021-01-04;4;2;0;0;0
2021-01-05;5;1;1;2;1
2021-01-06;4;3;0;1;0
2021-01-07;6;0;0;2;1
2021-01-08;2;1;0;1;1
2021-01-09;11;4;3;1;1
2021-01-10;8;2;1;3;4
2021-01-11;5;2;4;4;1
2021-01-12;6;0;3;6;3
2021-01-13;10;2;0;1;0
2021-01-14;12;2;1;2;0
2021-01-15;7;6;2;4;1
2021-01-16;9;4;4;2;1
2021-01-17;8;0;1;1;1
2021-01-18;10;3;1;2;3
2021-01-19;9;5;2;0;2
2021-01-20;3;0;3;0;3
2021-01-21;4;3;1;2;1
2021-01-22;10;0;1;0;2
2021-01-23;9;4;0;0;1
2021-01-24;8;0;1;2;1
2021-01-25;6;1;1;1;1
2021-01-26;2;2;0;0;0
2021-01-27;3;2;0;0;0
2021-01-28;1;2;0;1;0
2021-01-29;5;2;0;1;0
2021-01-30;2;2;0;0;1
2021-01-31;4;0;1;1;0
2021-02-01;1;1;1;0;0
2021-02-02;2;0;1;0;1
2021-02-03;2;0;1;1;1
2021-02-04;5;0;2;0;0
2021-02-05;3;1;0;1;1
2021-02-06;0;0;2;0;0
2021-02-07;2;0;0;0;0
2021-02-08;1;1;1;0;1
2021-02-09;2;0;3;1;0
2021-02-10;2;2;0;2;0
2021-02-11;0;0;0;0;0
2021-02-12;0;0;0;0;0
2021-02-13;1;1;1;0;0
2021-02-14;0;3;0;0;0
2021-02-15;0;1;0;0;0
2021-02-16;0;0;0;1;0
2021-02-17;0;2;0;1;0
2021-02-18;0;1;0;0;1
2021-02-19;2;0;0;1;0
2021-02-20;0;0;1;0;0
2021-02-21;0;0;0;0;1
2021-02-22;1;0;0;0;0
2021-02-23;2;0;1;0;1
2021-02-24;1;1;1;1;0
2021-02-25;3;0;1;1;0
2021-02-26;0;0;0;0;1
2021-02-27;3;1;0;1;0
2021-02-28;1;0;0;0;0
2021-03-01;0;2;1;0;0
2021-03-02;3;0;0;0;1
2021-03-03;0;0;0;0;0
