Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   6.240 (48);   6.763 (52);  13.003
10-19;  15.056 (49);  15.776 (51);  30.832
20-29;  19.375 (52);  18.206 (48);  37.581
30-39;  13.914 (51);  13.152 (49);  27.066
40-49;  15.718 (54);  13.469 (46);  29.187
50-59;  15.054 (52);  13.789 (48);  28.843
60-69;   7.754 (49);   8.067 (51);  15.821
70-79;   4.904 (49);   5.043 (51);   9.947
80-89;   3.107 (58);   2.258 (42);   5.365
90+;   1.215 (71);     497 (29);   1.712
I alt; 102.337 (51);  97.020 (49); 199.357
