Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.722 (48);  10.556 (52);  20.278
10-19;  21.235 (49);  22.396 (51);  43.631
20-29;  26.220 (50);  25.767 (50);  51.987
30-39;  19.081 (50);  18.760 (50);  37.841
40-49;  20.978 (53);  18.848 (47);  39.826
50-59;  19.386 (51);  18.729 (49);  38.115
60-69;   9.866 (48);  10.503 (52);  20.369
70-79;   5.913 (49);   6.074 (51);  11.987
80-89;   3.473 (58);   2.535 (42);   6.008
90+;   1.315 (70);     551 (30);   1.866
I alt; 137.189 (50); 134.719 (50); 271.908
