Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.623 (48);  10.428 (52);  20.051
10-19;  20.846 (49);  22.009 (51);  42.855
20-29;  25.771 (51);  25.200 (49);  50.971
30-39;  18.848 (50);  18.509 (50);  37.357
40-49;  20.708 (53);  18.589 (47);  39.297
50-59;  19.183 (51);  18.504 (49);  37.687
60-69;   9.797 (48);  10.414 (52);  20.211
70-79;   5.897 (49);   6.059 (51);  11.956
80-89;   3.472 (58);   2.533 (42);   6.005
90+;   1.314 (70);     551 (30);   1.865
I alt; 135.459 (50); 132.796 (50); 268.255
