Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  14.381 (48);  15.279 (52);  29.660
10-19;  30.808 (49);  31.892 (51);  62.700
20-29;  37.903 (49);  39.705 (51);  77.608
30-39;  25.569 (50);  25.540 (50);  51.109
40-49;  26.358 (53);  23.679 (47);  50.037
50-59;  22.622 (51);  22.042 (49);  44.664
60-69;  11.196 (49);  11.886 (51);  23.082
70-79;   6.641 (50);   6.773 (50);  13.414
80-89;   3.778 (57);   2.813 (43);   6.591
90+;   1.429 (71);     594 (29);   2.023
I alt; 180.685 (50); 180.203 (50); 360.888
