Aldersgruppe;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt
12-15;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;4;0;0;0;3;1;0;0;2;0;0;0;4;1;0;0;2;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0
16-19;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;5;0;1;1;6;0;1;0;3;1;1;1;2;1;0;0;1;0;0;0;3;0;1;1;1;0;0;0;1;1;0;0;2;0;1;1;0;0;0;0;3;0;0;0
20-29;8;1;1;1;3;0;3;3;4;0;2;2;19;2;2;2;18;2;3;2;18;1;1;1;35;0;0;0;25;8;1;1;21;3;0;0;20;3;1;1;19;8;1;1;17;7;2;2;17;4;1;0;11;0;0;0;4;2;0;0;8;0;0;0
30-39;5;1;2;2;7;1;0;0;9;2;2;2;15;1;2;1;31;2;1;1;40;3;2;2;32;5;2;2;30;7;1;0;13;3;1;1;16;6;1;1;18;3;0;0;23;2;1;1;10;0;0;0;7;1;0;0;11;0;0;0;18;0;1;0
40-49;6;0;1;1;4;0;1;1;6;1;3;3;21;3;5;5;23;2;3;3;19;3;3;3;27;2;8;7;21;9;5;3;11;4;9;7;14;6;4;4;13;1;3;2;6;4;0;0;3;4;0;0;3;3;0;0;4;4;0;0;20;2;2;2
50-59;7;0;4;4;5;0;3;3;11;0;1;1;9;1;8;8;16;3;5;5;10;2;5;5;18;2;6;6;10;2;5;5;10;1;2;2;6;5;5;4;3;0;0;0;10;1;2;2;3;2;2;1;0;0;1;0;3;1;3;1;3;3;0;0
60-69;4;0;7;7;4;1;6;6;4;1;7;7;8;1;8;8;11;1;5;5;10;1;8;8;9;3;14;14;9;1;5;5;3;2;5;5;3;0;2;2;5;0;3;2;2;1;1;1;2;0;0;0;1;0;0;0;3;2;1;1;2;3;0;0
70-79;4;0;15;15;4;0;17;17;0;1;11;11;3;1;14;14;5;1;12;12;10;0;22;22;4;0;16;16;1;0;10;10;3;0;6;6;2;0;5;5;1;0;2;2;1;0;7;7;0;0;4;4;0;0;1;1;1;0;2;2;1;0;2;2
80+;1;1;12;12;2;0;24;24;0;0;18;18;3;0;20;20;9;2;18;17;6;0;17;17;3;1;11;11;4;0;9;9;0;0;13;13;0;0;5;5;1;0;8;8;0;0;4;4;1;0;1;1;0;1;1;1;0;0;1;1;1;0;5;4
12+;35;4;43;43;30;2;54;54;34;5;44;44;79;9;59;58;120;13;47;45;121;11;59;59;136;13;58;56;107;29;37;34;65;14;36;34;62;21;23;22;64;12;18;16;60;15;17;17;38;11;8;6;25;5;4;3;27;9;7;5;57;8;10;8
