Aldersgruppe;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt
12-15;0;0;0,6;0,6;0;0;0;0;0;0;0;0;1,3;0;0;0;4,7;0;0;0;3,2;1,2;0;0;1,9;0;0;0;3,3;0,8;0;0;1,3;0;0;0;0;1,5;0;0;0,4;0;0;0;0;0;0;0;0,4;0;0;0;0,4;0;0;0;0,4;0;0;0;0,4;0;0;0
16-19;0;19,6;0;0;3;0;0;0;0;0;0;0;0;0;0;0;8,2;0;0;0;13;0;0,5;0,5;14,9;0;0,5;0;7,1;3,5;0,6;0,6;4,5;2,1;0;0;2,1;0;0;0;5,9;0;1,4;4,4;1,8;0;0;0;1,5;0,6;0;0;2,4;0;22,8;24,9;0;0;0;0;1,8;0;0;0
20-29;5,1;4,9;0,2;0,2;1,9;0;0,6;0,6;2,4;0;0,4;0,4;11,4;5,7;0,4;0,4;10,5;4,2;0,6;0,5;10,1;1,3;0,2;0,3;18,7;0;0;0;12,7;3,5;0,3;0,5;10;1;0;0;8,5;0,9;0,6;1;6,7;2,3;1;1,4;4,7;2,4;2,7;2,9;3,7;2;1,4;0;2,1;0;0;0;0,7;2,3;0;0;1,3;0;0;0
30-39;3,7;5,1;0,4;0,4;5;4,1;0;0;6,3;6,5;0,4;0,4;10,3;2,4;0,4;0,2;20,6;3,3;0,2;0,3;25,4;3;0,5;0,7;19,1;3;0,6;1,1;16,7;2,5;0,5;0;6,6;0,9;0,8;1;6,8;1,8;1;1,1;6;1,1;0;0;5,6;1,2;1,2;1,2;1,9;0;0;0;1,3;2,6;0;0;1,9;0;0;0;3,1;0;1,4;0
40-49;7,8;0;0,2;0,2;5,2;0;0,2;0,2;7,6;9,1;0,5;0,5;26,2;22,8;0,8;0,8;28,1;11,9;0,5;0,5;22,5;13,2;0,5;0,5;30,9;5,7;1,4;1,3;23,2;13;0,9;0,6;11,6;3,3;1,9;1,8;14;2,9;1;1,6;12;0,3;1,2;1,4;5;0,9;0;0;2;0,9;0;0;1,5;0,7;0;0;1,4;1,2;0;0;4,8;1;2,2;2,4
50-59;13,1;0;0,6;0,6;9,3;0;0,4;0,4;20,2;0;0,1;0,1;16,3;15,5;1,1;1,1;28,6;40,3;0,7;0,7;17,5;22,7;0,7;0,7;30,8;18,1;0,9;0,9;16,8;12,5;0,7;0,7;16,4;4,6;0,3;0,3;9,6;15;0,7;0,6;4,6;0;0;0;14,7;0,6;0,4;0,5;4,2;0,7;0,5;0,5;0;0;0,5;0;3,5;0,2;2,4;0,9;2,6;0,6;0;0
60-69;13,7;0;1,1;1,1;13,6;40,3;1;1;13,5;36,6;1,1;1,1;26,7;34,7;1,3;1,3;36,2;30,9;0,8;0,8;32,4;27,6;1,3;1,3;28,7;66,7;2,3;2,3;28,2;16,3;0,8;0,8;9,2;27,3;0,8;0,8;9;0;0,3;0,3;14,7;0;0,5;0,3;5,7;5,3;0,2;0,2;5,4;0;0;0;2,6;0;0;0;7,5;1,2;0,2;0,3;4,6;1,1;0;0
70-79;24,1;0;2,8;2,8;23,9;0;3,1;3,1;0;77,3;2;2;17,6;72,5;2,6;2,6;29;67,3;2,2;2,2;57;0;4;4;22,5;0;2,9;2,9;5,5;0;1,8;1,8;16,4;0;1,1;1,1;10,8;0;0,9;0,9;5,3;0;0,4;0,4;5,2;0;1,3;1,3;0;0;0,7;0,7;0;0;0,2;0,2;4,7;0;0,4;0,4;4,5;0;0,4;0,4
80+;11;111;4,6;4,6;21,8;0;9,1;9,1;0;0;6,8;6,8;31,9;0;7,6;7,6;94,6;180,2;6,8;6,4;62,1;0;6,4;6,4;30,7;78,4;4,2;4,2;40,5;0;3,4;3,4;0;0;4,9;4,9;0;0;1,9;1,9;9,7;0;3;3;0;0;1,5;1,5;9,3;0;0,4;0,4;0;33,5;0,4;0,4;0;0;0,4;0,4;8,7;0;1,9;1,5
12+;6;5,2;1;1;5,1;2,1;1,3;1,3;5,6;4,4;1,1;1,1;12,8;6,1;1,5;1,5;18,8;6,2;1,2;1,2;18,1;3,5;1,5;1,7;19,3;2,7;1,6;1,7;14,3;3,8;1,1;1,1;7,9;1,5;1,2;1,2;6,7;2;0,8;0,9;5,8;1;0,7;0,7;4,6;1,2;0,7;0,8;2,4;0,9;0,4;0,3;1,4;0,4;0,2;0,2;1,4;0,7;0,4;0,3;2,5;0,7;0,7;0,6
