Aldersgruppe;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt
12-15;201,9;80,7;9,2;8,5;208,4;64,9;4,8;3,9;175,6;40,8;2,6;2,2;209,2;70,8;11,5;7,2;357,3;119,9;22,4;19,5;485,2;144,2;49,3;27,4;520,8;136,1;74,4;9,5;373,6;135,9;157,7;42,6;273,9;97,5;246,2;0;174,3;96,8;0;0;133,1;113,7;0;0;108,7;141,1;0;0;74,8;288,4;0;0;39,3;206,4;0;0;25,2;0;0;0;35,4;0;0;0
16-19;186,8;57,8;13,9;14;139,1;88,3;14,9;15;146,5;32,7;6,2;5,4;264;46,4;17,4;15,9;303,1;188,6;24,5;24,7;510,4;209;34,4;33,9;628,9;196,1;47,9;43,3;689,2;230,7;65;52,6;656,1;258;77,5;49;531;311,4;111,3;72,5;385,8;216,1;128,6;115,4;381,7;268,7;533,7;233,6;239,6;213,4;269,2;86,8;154,5;162;43;23,4;44,4;32,6;23;24,9;68;64,9;0;0
20-29;129,1;66;24,3;24,4;113,1;50,3;15,9;15,1;113,7;49;19,5;19,6;169,3;104,8;29;30,3;215,7;101,4;36,6;36;306,2;100,1;40,9;42,2;388,7;115,5;67,3;67,7;498;163,2;110,5;94,6;440,2;182,4;171,9;145,3;396,8;288,6;240,6;192,8;295,6;294;245,4;199,5;360,2;510;319,3;267,7;212,4;426,1;165,1;157,4;120,9;260;63,8;57,7;52,7;126,7;14,2;8,8;62,3;125,9;24,6;9,9
30-39;143,3;118,2;36;35,9;119,5;81,7;31,3;31,5;112,5;80,3;26,3;26,7;180,3;120,7;35;36,1;229,1;105,2;48,5;52,9;291,6;137,9;61,5;75,1;337,9;107,6;76,6;93,8;306,7;91,1;98;95,3;266,5;90,7;87,9;89,8;184,1;103;103;105,8;125,8;99,2;65,4;68,5;148,8;167,2;121;118,9;102,7;140;70,5;70,5;61,8;74,9;35,5;36,9;38,3;50,4;21,5;13,3;41,3;10,2;18,1;3,3
40-49;155,4;143,9;42,7;42,9;129,9;71,2;32,5;32,6;103,4;46;25,2;25,3;146,6;154,7;34,2;34,1;224,7;205,3;55;54,9;334,5;204,4;72,8;72,5;312,1;220;55,9;54,3;290,9;170,7;60,8;53,4;277,1;134,4;47;43,4;193,9;85,8;47,3;44,5;104,4;58,1;47,1;45,4;89,6;65,1;59;43,1;59;51,7;40,2;37,5;32,9;35,1;14,1;12,5;26,7;24,6;2,1;2,2;30,8;42,3;8,5;9,2
50-59;141,6;54,7;28,4;28,2;91,4;66;21,2;21,1;82,1;59,6;17,3;17,1;132,5;159,6;25,2;24,7;163,4;80,7;38,4;38,3;219,4;215,8;39,9;39,9;208,5;156,6;38,7;38,4;208,7;174;32,7;32,2;193,5;154,2;28,3;27,8;129,6;94,7;24;24;78,3;52,5;18,1;17,6;92,8;45,8;30,3;28,3;58;38,7;25,9;19,5;31,9;18,8;20,6;12,1;18;11,1;8,2;6;38,4;13,5;12,7;13,4
60-69;75;282,1;22,9;22,9;67,9;146,1;16;16;48,1;99,9;16,8;16,8;95,1;125,2;20,4;20,4;84,6;0;26,7;26,7;120,1;100,3;27,4;27,3;106;222,8;30,3;30,4;104,3;44,5;23,2;23;64,4;61,9;19,8;19,8;74,5;122,6;16,1;16;30,6;37,4;11,7;11,4;43,2;29,6;9,6;9;33,5;15,2;7,9;7,8;12,5;12,2;3,1;3,2;9,5;5;2,9;2,5;19,7;6,6;3,6;3,5
70-79;35,2;258,8;21,4;21,4;40,7;155,6;23,2;23,2;40,3;72,4;15,1;15,1;22,8;135,5;21,2;21,2;50,7;63,5;20,8;20,8;66,5;119;26,6;26,6;65,6;0;19,6;19,6;21,6;0;18,2;18;26,6;33,5;12,6;12,6;10,5;0;10,8;10,8;20,5;0;6,9;6,9;20,1;0;6,7;6,7;14,6;0;5,8;5,8;0;0;3,3;3,3;13,8;8,2;1,8;1,9;0;13;2;2,1
80+;43,1;208,6;19;19;31,8;0;28,3;28,3;20,9;0;18,2;18,2;31,1;0;24,9;24,9;112,7;169,8;26;25,6;90,8;82,6;24,1;24,1;29,9;0;23,7;23,7;69;128,8;17,4;17,4;0;0;13,3;13,3;9,6;0;9,2;9,2;18,9;0;11,8;11,8;18,5;0;7,4;7,4;18,2;0;3,3;3,3;0;32;1,1;1,1;0;0;1,5;1,5;33,9;0;3,3;3
12+;143,3;98,4;27,1;27,1;123,2;70,1;22,4;22,3;112,9;55,5;18,4;18,4;167,8;104,1;26,1;26;228,3;118,7;35,7;35,8;319,9;139,8;42,4;42,4;362,7;130;43,7;41,2;364,7;134,2;45,4;38,1;316,1;136;41,3;33,7;244,5;173,4;40,7;30,8;174,4;153,9;30,4;23,7;196,4;209,2;37;28,4;127,2;137,4;21,3;18,6;74,1;70,1;9,7;8,1;37,6;24,5;4,2;3,1;45,7;24,2;5,6;4,2
