Aldersgruppe;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt
12-15;228,7;89,2;9,7;8,8;234,3;70,9;5;4;195,6;44,1;2,7;2,2;230,6;75,4;12;7,4;389,4;126,5;23,2;20,3;526,7;149,8;49,8;25,9;564,1;141,8;77,2;9,9;399,6;141,3;163,9;44,1;293,7;101,2;255,2;0;185,1;100,5;0;0;140;118,4;0;0;115,1;140,1;0;0;77,4;300;0;0;41,2;214,1;0;0;25,9;0;0;0;37;0;0;0
16-19;230,7;78,3;13,2;13,3;170;118,5;15,7;15,8;178,1;43,3;6,7;5,8;314,6;60,4;18,4;16,7;357,2;240,4;25,9;26;576,7;257,2;36;35,3;718,3;232,8;51,3;46,2;793,1;259;67,7;54;765,4;285,8;82,5;52;610,4;338,1;117,4;75,8;448,6;229,4;137,1;123,4;434,9;285,8;561,9;237,2;267,8;226,9;275,4;69,1;171,9;171;45,7;24,9;48,4;34,6;24,4;26,4;72,8;69;0;0
20-29;145,5;83,4;26;26,1;130,4;62,8;17,2;16,3;127,4;60,3;21,1;21,1;186,2;126,4;30,8;32,1;234,7;114,4;38,9;38,4;336,4;111,1;43,1;44,4;426,2;126,1;72;72,5;534,6;174,3;117,4;101,3;470,3;192,9;182,2;155,1;425,8;305,2;255,2;203,5;316,9;312;261,9;213,5;382;540,8;333,4;277,8;224,3;453,5;176,5;168,3;128;276,4;66,7;60,1;56,1;136,2;15,2;9,5;65,7;130,5;26,3;10,7
30-39;157,9;136,9;38;37,8;131,5;93,4;33;33,2;121,8;90,8;26,8;27,4;196;129,6;36,6;37,7;248,3;113,2;50,5;54,9;314,9;146,8;64,2;78,4;363,1;113,2;79,4;97,9;328,2;95,4;101,8;98,7;282,1;94,4;91,7;93,7;193,2;107,4;107,7;110,6;132;103;67,9;71,2;157;172,5;127,7;125,5;107,6;145,7;73,2;73,1;64,5;76,4;36,3;37,7;40,2;53,7;22,6;14,1;43;11;19,1;3,5
40-49;172,3;174,3;44,6;44,8;140,5;85,5;34,3;34,5;114,4;54,9;26;26,2;159,8;182,6;36,1;36;246,5;232,7;57,4;57,2;358,8;233,4;76,4;76;328,6;244,1;57,9;56,1;317,8;184,7;63,4;55,8;299,7;143,4;49,2;45,5;211,4;89,3;49;46,4;114,8;61;49,5;48;98,1;68;60,3;43,9;64,6;53,6;42,7;39,8;35;36,4;13,9;13,3;28,5;25,7;2,2;2,3;32,6;44,2;7,9;8,6
50-59;155,7;64;29,9;29,7;98,4;77,1;22,2;22;90;69,6;18,2;17,9;135,9;185,8;26,2;25,7;169,6;80,5;39,7;39,7;238;227,3;41,8;41,9;221;180,7;40,4;40,1;219,8;199,4;33,6;33,1;211,7;170,7;29,4;28,9;137;105,1;25;24,9;82,8;56,6;18,9;18,4;100,3;47,6;31,5;29,4;59,5;40,1;27,2;20,6;35;19,6;21,7;12,7;18,4;11,6;8,7;6,3;40,4;13,7;12,5;13,2
60-69;75,6;312,6;23,6;23,7;68,2;161;16,2;16,2;50,6;109,8;17;17;100,1;138,6;21,1;21,1;85,6;0;27,6;27,6;123;110,5;27,9;27,8;108,3;222,2;31,1;31,2;109,7;48,8;24;23,7;64,7;68,1;20,4;20,4;78,4;135,2;16,2;16,2;32,2;40,9;11,9;11,6;45,6;31,8;9,7;9,1;32,7;16,1;8;7,8;13,1;11,6;3,2;3,3;10;5,2;3;2,5;16,2;6,4;3,7;3,6
70-79;36,2;275,2;21,8;21,8;41,9;165,7;23,5;23,5;35,5;77,3;15,2;15,2;23,5;144,9;21,2;21,3;46,3;67,3;21,1;21,1;68,4;126,3;27,1;27,1;67,4;0;20;20;22,2;0;18,5;18,4;27,4;35,2;12,8;12,9;10,8;0;11;11;21,1;0;7;7;20,6;0;6,6;6,7;15;0;5,5;5,6;0;0;3,2;3,2;4,7;0;1,7;1,7;0;13,6;2,1;2,1
80+;44,1;222;19,4;19,4;32,6;0;28,5;28,5;21,5;0;18,2;18,3;31,9;0;25,4;25,4;115,6;180,2;25,8;25,4;93,2;87,4;24,2;24,2;30,7;0;23,8;23,8;70,8;135,5;17,4;17,4;0;0;13,6;13,6;9,8;0;9;9,1;9,7;0;11,7;11,7;19;0;7,2;7,2;9,3;0;3;3;0;33,5;1,1;1,1;0;0;1,5;1,5;26,1;0;3,4;3
12+;159,6;117,3;28,3;28,2;137;82,5;23,3;23,2;124,5;64,4;19;19;182,6;117,4;27,1;27;247,3;130,1;37;37;345,8;151,1;44;43,9;390,6;139,2;45,3;42,6;390,4;142,4;46,8;39,3;337,9;143,5;42,8;34,9;260,3;182,6;41,9;31,5;185,5;162;31,4;24,4;208;219,4;37,7;28,7;133,7;143,9;21,7;18,8;78,2;72,9;9,7;8,1;39,6;25,5;4,2;3,1;47,9;24,8;5,7;4,2
