Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  13.773 (48);  14.666 (52);  28.439
10-19;  29.978 (49);  31.108 (51);  61.086
20-29;  37.349 (49);  39.182 (51);  76.531
30-39;  24.966 (50);  24.974 (50);  49.940
40-49;  25.811 (53);  23.192 (47);  49.003
50-59;  22.267 (51);  21.679 (49);  43.946
60-69;  10.974 (48);  11.667 (52);  22.641
70-79;   6.437 (49);   6.616 (51);  13.053
80-89;   3.698 (57);   2.743 (43);   6.441
90+;   1.396 (70);     585 (30);   1.981
I alt; 176.649 (50); 176.412 (50); 353.061
