Aldersgruppe;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt;Uge 22_Ingen vaccination;Uge 22_Første vaccination;Uge 22_Anden vaccination;Uge 22_Fuld vaccineeffekt;Uge 21_Ingen vaccination;Uge 21_Første vaccination;Uge 21_Anden vaccination;Uge 21_Fuld vaccineeffekt
12-15;1,5;0;0;0;2,9;0;0;0;2,1;1,6;0;0;0;0;0;0;1,8;0;0;0;0,5;0;0;0;0,5;0;0;0;0,4;0;0;0;0;0;0;0;0,4;0;0;0;0,4;0;0;0;0,4;0;0;0;0,4;0;0;0;0,8;0;0;0;0;0;0;0;0,8;0;0;0
16-19;0;0;0;0;7,2;0;0;0;6,8;0;0,6;0,6;10,4;0;0;0;9,5;1,8;0,7;0,8;5;1,4;0;0;0;1,1;0;0;0;0;0;0;0;0;0;0;0,9;0;0;0;0,8;0;0;0;0;0;0;0;0,5;0;0;0;1,3;4;0;0;0,4;0;0;0;0,4;0;0;0
20-29;11,9;6,3;0,2;0,2;10,9;4,7;0,4;0,4;11,7;0;0,2;0,2;18,8;0;0,2;0;12,8;4;0,3;0,4;8,9;1,1;0;0;9,4;0,9;0,6;0,9;7,9;1,7;1,9;2,9;5,1;2,1;2,9;3,1;3,4;2,1;0;0;2,1;0;1,6;1,7;0,6;1,7;0;0;1,6;0;0;0;1,7;0;0;0;1,2;0;0;0;0,6;0;0;0
30-39;9,6;2,3;0,6;0,5;20,5;3,1;0,4;0,3;21,9;3,8;0,5;0,7;20,1;2,8;0,6;1,1;14,6;2,7;0,5;0;8;0,9;0;0;6,7;1,8;1;1,1;5,9;1,5;0;0;5,4;1,3;1,2;1,2;2,4;0;1,2;0;1,6;0;0;0;1,9;0;0;0;2,5;0;1,4;0;2,6;0;0;0;3,2;0;0;0;1,4;6,6;0;0
40-49;24,8;13,6;0,7;0,7;25,4;10,4;0,5;0,5;23,5;7,3;0,4;0,4;26;4,5;1,5;1,6;23,9;8;1;0,7;7,9;1,4;1,8;2;11,2;2,1;0,9;1,3;11;0,3;1,4;1,5;4,5;0,9;0;0;1,7;1;0;0;1,3;1,1;0;0;1,6;0,7;0;0;4,7;1,2;2,3;2,5;5;3,6;0;0;3,7;5,5;2,6;3;1,2;0;0;0
50-59;15,5;14,4;1;1;25,4;37,3;0,7;0,7;20;20,9;0,7;0,7;37,4;16,5;0,9;0,9;15,9;22,3;0,6;0,6;20,2;12;0,6;0,5;12,1;12,3;0,8;0,6;5,8;0;0;0;9,8;0,5;0,4;0,5;2,6;0,3;0,6;0,5;0;0;0;0;3,2;0,5;1,7;0,9;3,1;0,6;0;0;7,8;3;2,8;3,1;5,6;3,4;1;1,1;1,1;1,5;0;0
60-69;15,4;31,9;1,6;1,6;36,5;28,3;0,5;0,5;26,9;49,9;1,1;1,1;23,6;59,9;2,1;2,1;29;14,5;1;1;8,6;24,3;0,5;0,5;8,4;0;0,3;0,3;10,9;0;0,5;0,5;15,8;4,3;0,2;0,2;5;2;0;0;2,4;0;0,2;0;6,9;0,9;0,3;0;6,4;0,9;0;0;18;1;0,5;0,7;3,9;1,3;0,8;0,9;2,1;0,7;0,8;1
70-79;21,9;66,4;2,3;2,3;32,5;61,6;2,1;2,1;58,6;0;3,9;3,9;26,3;0;2,8;2,8;5,2;0;1,4;1,4;10,3;0;1,1;1,1;10,1;0;1,1;1,1;9,9;0;0,4;0,4;4,8;0;1,2;1,3;4,7;0;0,7;0,7;0;0;0,2;0,2;4,5;0;0,5;0,6;0;0;0,4;0,4;0;0;0,6;0,6;11,1;2,1;0,2;0,2;3,3;4,3;0,6;0,7
80+;27,4;0;6,4;6,4;81,5;152,3;6,1;5,7;44,7;0;6,1;6,1;26,6;67,1;3,8;3,8;35,1;0;3,5;3,5;8,7;0;4,8;4,8;0;0;1,6;1,6;8,5;0;2,6;2,6;0;0;1,3;1,3;8,2;0;0,3;0,3;0;28,1;0,3;0,3;0;0;0,3;0,3;15,4;0;1,6;1,3;14,9;0;0,7;0,7;7,1;14,3;2,3;2,3;13,4;0;2;2
12+;11,2;5,4;1,4;1,4;17,2;6,2;1,2;1,1;16,4;3,5;1,5;1,6;17,7;2,7;1,6;1,7;13,1;3,8;1,1;1,1;7,3;1,5;1,2;1,2;6,3;1,9;0,8;0,8;5,5;0,9;0,7;0,7;4,4;1,2;0,7;0,8;2,3;0,9;0,4;0,3;1,4;0,4;0,2;0,2;1,3;0,7;0,4;0,3;2,5;0,7;0,7;0,6;3,4;2;0,7;0,7;2,7;2,2;1;1,1;1,1;1,4;0,9;1
