Aldersgruppe;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt;Uge 22_Ingen vaccination;Uge 22_Første vaccination;Uge 22_Anden vaccination;Uge 22_Fuld vaccineeffekt;Uge 21_Ingen vaccination;Uge 21_Første vaccination;Uge 21_Anden vaccination;Uge 21_Fuld vaccineeffekt
12-15;2;0;0;0;4;0;0;0;3;1;0;0;0;0;0;0;3;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;2;0;0;0;0;0;0;0;2;0;0;0
16-19;0;0;0;0;3;0;0;0;3;0;1;1;5;0;0;0;5;1;1;1;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3;1;0;0;1;0;0;0;1;0;0;0
20-29;18;2;1;1;17;2;2;2;19;0;1;1;32;0;1;0;23;8;1;1;17;3;0;0;20;3;1;1;20;6;2;2;16;7;2;2;14;5;0;0;10;0;1;1;3;2;0;0;10;0;0;0;11;0;0;0;8;0;0;0;4;0;0;0
30-39;15;1;3;2;33;2;2;1;37;4;2;2;36;5;2;2;28;8;1;0;17;3;0;0;17;6;1;1;19;4;0;0;24;2;1;1;13;0;1;0;9;0;0;0;11;0;0;0;15;0;1;0;16;0;0;0;20;0;0;0;9;1;0;0
40-49;21;2;4;4;22;2;3;3;21;2;2;2;24;2;8;8;23;7;5;3;8;2;8;7;12;5;3;3;13;1;3;2;6;4;0;0;3;4;0;0;3;4;0;0;5;2;0;0;21;2;2;2;28;2;0;0;22;1;2;2;7;0;0;0
50-59;9;1;7;7;15;3;5;5;12;2;5;5;23;2;6;6;10;4;4;4;13;3;4;3;8;5;5;4;4;0;0;0;7;1;2;2;2;1;2;1;0;0;0;0;3;3;2;1;4;3;0;0;18;13;3;3;21;10;1;1;6;2;0;0
60-69;5;1;10;10;12;1;3;3;9;2;7;7;8;3;13;13;10;1;6;6;3;2;3;3;3;0;2;2;4;0;3;3;6;1;1;1;2;1;0;0;1;0;1;0;3;2;1;0;3;3;0;0;10;4;1;1;3;6;1;1;3;3;1;1
70-79;4;1;13;13;6;1;12;12;11;0;22;22;5;0;16;16;1;0;8;8;2;0;6;6;2;0;6;6;2;0;2;2;1;0;7;7;1;0;4;4;0;0;1;1;1;0;3;3;0;0;2;2;0;0;3;3;3;1;1;1;1;3;3;3
80+;3;0;20;20;9;2;19;18;5;0;19;19;3;1;12;12;4;0;11;11;1;0;15;15;0;0;5;5;1;0;8;8;0;0;4;4;1;0;1;1;0;1;1;1;0;0;1;1;2;0;5;4;2;0;2;2;1;1;7;7;2;0;6;6
12+;77;8;58;57;121;13;46;44;120;11;59;59;136;13;58;57;107;29;37;34;65;14;36;34;63;20;23;22;64;11;18;17;60;15;17;17;38;11;8;6;25;5;4;3;27;9;7;5;57;8;10;8;90;20;9;9;79;19;12;12;35;9;10;10
