Aldersgruppe;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt;Uge 22_Ingen vaccination;Uge 22_Første vaccination;Uge 22_Anden vaccination;Uge 22_Fuld vaccineeffekt;Uge 21_Ingen vaccination;Uge 21_Første vaccination;Uge 21_Anden vaccination;Uge 21_Fuld vaccineeffekt
12-15;271;25;11;4;441;53;14;10;680;99;22;9;703;117;20;0;516;103;4;0;439;63;0;0;344;33;0;0;300;13;0;0;234;0;0;0;142;0;0;0;67;0;0;0;61;0;0;0;98;0;0;0;180;0;0;0;382;0;0;0;318;0;0;0
16-19;115;7;28;23;158;41;44;39;248;53;70;56;323;69;87;70;389;117;94;59;360;128;84;44;265;173;85;35;235;207;61;23;239;329;93;11;183;264;19;4;117;149;1;0;56;32;0;0;102;37;0;0;223;41;0;0;695;25;0;0;602;7;0;0
20-29;313;42;155;155;391;51;190;175;579;82;198;173;792;154;289;225;1045;386;377;247;1008;580;439;276;1035;1095;448;239;897;1145;287;169;1336;1739;258;182;986;1053;115;106;678;542;38;33;305;137;10;6;426;70;15;4;881;35;13;9;1729;16;12;5;1792;15;20;12
30-39;290;54;177;164;386;69;225;200;522;148;238;196;652;193;251;171;648;283;192;124;598;339;115;94;515;386;117;106;460;313;64;64;737;336;128;124;635;83;71;66;397;21;36;31;258;7;17;10;273;1;13;2;404;4;13;4;692;11;14;13;768;8;15;12
40-49;139;26;213;210;218;46;331;328;330;53;462;442;297;95;335;298;304;142;340;263;298;190;234;179;221;201;178;120;130;221;115;74;129;293;84;47;119;240;43;38;83;145;14;14;87;79;3;2;142;75;8;7;306;49;12;11;700;34;19;15;776;19;21;16
50-59;82;14;184;182;99;7;300;297;143;26;293;292;152;25;293;287;149;39;249;239;143;46;205;197;94;42;167;153;61;41;128;108;77;102;165;110;43;144;105;51;25;103;41;13;18;71;10;8;57;81;11;11;107;161;8;8;263;294;23;22;481;201;28;19
60-69;30;4;138;138;33;0;169;169;46;5;179;178;38;10;198;198;40;3;155;153;25;5;125;124;30;13;114;113;13;6;71;69;16;6;68;63;19;7;52;46;6;14;25;20;4;11;14;9;6;26;16;14;18;64;19;10;37;128;16;9;50;171;15;12
70-79;8;2;118;118;8;1;128;128;14;2;163;163;13;1;117;117;4;0;103;103;5;1;81;81;2;2;59;59;4;0;47;47;5;0;40;40;3;0;30;30;2;0;17;17;1;0;9;9;1;2;10;10;2;3;17;16;8;7;22;22;9;11;19;14
80+;3;0;76;76;12;2;75;74;8;1;74;74;3;0;71;71;7;2;55;54;1;0;41;41;1;0;31;31;1;0;32;32;2;0;20;20;1;0;9;9;0;1;3;3;0;0;5;5;3;0;10;9;3;0;8;8;1;1;20;20;3;0;20;20
12+;1251;174;1100;1070;1746;270;1476;1420;2570;469;1699;1583;2973;664;1661;1437;3102;1075;1569;1242;2877;1352;1324;1036;2507;1945;1199;856;2101;1946;805;586;2775;2805;856;597;2131;1791;444;350;1375;975;175;131;790;337;68;49;1108;292;83;57;2124;357;90;66;4507;516;126;106;4799;432;138;105
