Aldersgruppe;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt;Uge 22_Ingen vaccination;Uge 22_Første vaccination;Uge 22_Anden vaccination;Uge 22_Fuld vaccineeffekt;Uge 21_Ingen vaccination;Uge 21_Første vaccination;Uge 21_Anden vaccination;Uge 21_Fuld vaccineeffekt
12-15;202,7;81,8;12,2;5,4;319,6;113,8;20;20,5;467,9;153,7;48,3;35,9;456,7;145,1;95,2;0;308,8;119,2;170,7;0;229,1;97,9;0;0;157,2;88,3;0;0;120,8;162,7;0;0;91,2;0;0;0;55,3;0;0;0;26;0;0;0;23,7;0;0;0;38;0;0;0;69,6;0;0;0;147,5;0;0;0;122,7;0;0;0
16-19;289,9;50,2;14,3;12,1;379,8;204,1;23,3;21,8;558,8;181,7;39,5;34,2;670,1;166,7;53,8;48,4;736,5;209,2;65,7;47,4;595,5;180;69,6;43,9;380,3;198,1;89,1;56,2;283,6;180,6;111,1;93,8;260;232,7;485,4;185,2;172,4;186,6;368,6;191,9;93,7;117,7;48,5;0;38,9;29,5;0;0;55,2;54,1;0;0;97,3;164,5;0;0;277,8;559,2;0;0;236,8;932,1;0;0
20-29;207,1;133,3;30,4;31,5;250,7;118,8;38,2;38,1;356,7;120,4;42,2;42,6;465,6;134,4;69,2;68,9;582,5;193;115,4;96,3;528,6;215,2;176,8;152;487,9;340,1;253,8;217,9;355,2;322,1;276,8;241,1;426,9;523,9;380,2;285,8;241,3;435,7;179,5;173;144,4;292,9;60,8;57,3;56,3;116,2;16,7;12,1;69,3;134,3;27;9,1;133;238,1;27,4;22,4;256,1;159,9;28,9;14,3;264,3;109,3;54,9;41,2
30-39;185,8;123,4;37,2;37,7;239,4;106,3;50;53,4;309,1;139,7;59,2;70,6;363,9;110;77,7;96,3;338;95,6;100,6;106;281,7;96,3;100,1;98,3;202,8;117,1;121,8;119,9;142,7;116,6;71,9;74,4;166,9;221,2;148,3;147,3;115,5;182,4;83,7;81,4;69,3;84,1;43,5;41;43,7;60,7;21,4;15,5;45,5;11,7;17,9;3,5;66;45,9;21,1;7,7;111,8;101,2;26;28;123,7;52,9;31,2;30
40-49;164,4;177,1;36,6;36,5;252;238,8;57,4;58,1;370;193,4;81,6;81,2;321,2;215,1;61,2;59,4;316;162,5;67,9;59;296,1;128,5;53,6;51,1;205,8;86,2;51,5;52;109,8;63,1;52,8;56,3;96,4;68,2;67,8;48,4;69;57,2;44,9;42;36,8;38,9;15,4;15,9;27,5;27,7;3,4;2,4;31,9;46,9;9,2;8,8;55,1;87,9;14,6;14,9;116,6;186,9;25;22,8;127,6;100,1;30,7;28,1
50-59;141,1;201,6;26,2;26;167,9;87,1;42,8;42,5;237,7;272,1;42;42;247,4;206;42,2;41,7;237,4;217,4;36,2;35,1;222,7;183,4;30,2;29,7;142,1;103,5;25,2;24,4;88,6;49,4;20,7;20,5;107,5;53,2;32,6;29,5;56,2;42,8;29,4;24,5;30,4;20,8;21,3;10,8;19;12,7;8,5;7,4;43,7;15,2;10,1;10,5;46,3;36,9;7,6;8,1;69,9;99,1;22,9;24,8;88,4;145,7;30,4;24,4
60-69;92,4;127,8;22;22;100,4;0;27;27;137,7;124,8;28,6;28,5;112,1;199,6;31,8;31,9;116,2;43,6;25;24,7;71,5;60,8;20,2;20,1;83,9;129,1;18,5;18,5;35,3;41;11,6;11,5;42,2;25,6;11,3;11;48;13,9;9,1;9,2;14,6;11,8;5;5;9,3;5;3,5;3,1;12,7;7,9;5,6;6,8;32,5;15,6;9,6;7,2;47,7;28,2;12,1;7,7;35,2;42,6;12,6;12
70-79;43,8;132,7;20,9;20,9;43,3;61,6;22,6;22,7;74,6;115,1;28,8;28,9;68,3;49,4;20,7;20,7;20,8;0;18,3;18,3;25,6;32,5;14,4;14,4;10,1;56,1;10,5;10,5;19,8;0;8,4;8,4;24,2;0;7,1;7,2;14,1;0;5,4;5,4;9,2;0;3,1;3,1;4,5;0;1,6;1,7;4,3;10,4;1,8;1,9;8;10,2;3,2;3,1;29,6;14,6;4,3;4,5;29,7;15,9;3,9;3,3
80+;27,4;0;24,2;24,2;108,7;152,3;23,9;23,6;71,6;74,3;23,6;23,7;26,6;0;22,7;22,7;61,5;115,8;17,6;17,3;8,7;0;13,2;13,2;8,6;0;10;10;8,5;0;10,3;10,3;16,7;0;6,5;6,5;8,2;0;2,9;2,9;0;28,1;1;1;0;0;1,6;1,6;23,1;0;3,3;3;22,3;0;2,6;2,7;7,1;14,3;6,6;6,7;20,2;0;6,7;6,8
12+;182,7;118,1;27,1;26,9;247,8;129,6;37;37,1;350,3;150,5;44;43,8;386,4;139,2;45,3;43;380,6;142,4;46,9;39,8;324,8;143,3;42,8;36;251,9;182,5;41,8;32,9;180,8;162;31,4;25,4;201,2;219,5;37,7;28,9;129,7;143,9;21,7;19,4;76,1;72,9;9,8;8,2;39,1;25,5;4,2;3,4;47,8;24,8;5,7;4,3;80,4;36,2;6,8;5,4;155,5;60,8;10,3;9,3;152,3;65;12;10,2
