Aldersgruppe;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt;Uge 28_Ingen vaccination;Uge 28_Første vaccination;Uge 28_Anden vaccination;Uge 28_Fuld vaccineeffekt;Uge 27_Ingen vaccination;Uge 27_Første vaccination;Uge 27_Anden vaccination;Uge 27_Fuld vaccineeffekt;Uge 26_Ingen vaccination;Uge 26_Første vaccination;Uge 26_Anden vaccination;Uge 26_Fuld vaccineeffekt;Uge 25_Ingen vaccination;Uge 25_Første vaccination;Uge 25_Anden vaccination;Uge 25_Fuld vaccineeffekt;Uge 24_Ingen vaccination;Uge 24_Første vaccination;Uge 24_Anden vaccination;Uge 24_Fuld vaccineeffekt;Uge 23_Ingen vaccination;Uge 23_Første vaccination;Uge 23_Anden vaccination;Uge 23_Fuld vaccineeffekt;Uge 22_Ingen vaccination;Uge 22_Første vaccination;Uge 22_Anden vaccination;Uge 22_Fuld vaccineeffekt;Uge 21_Ingen vaccination;Uge 21_Første vaccination;Uge 21_Anden vaccination;Uge 21_Fuld vaccineeffekt
12-15;3;0;0;0;7;0;0;0;7;1;1;1;9;0;0;0;10;0;0;0;2;0;0;0;4;0;0;0;4;0;0;0;2;1;0;0;2;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;4;0;0;0
16-19;4;0;1;1;5;0;1;1;17;0;2;2;16;0;0;0;11;0;3;3;7;0;0;0;4;0;1;1;1;1;0;0;5;0;1;0;4;1;0;0;2;2;0;0;3;0;0;0;1;0;0;0;4;0;0;0;6;0;0;0;5;0;0;0
20-29;10;0;2;2;17;2;1;1;20;1;3;3;23;0;0;0;45;2;2;0;40;4;4;1;36;6;4;3;25;5;1;0;38;10;7;7;29;5;1;1;10;3;1;1;2;0;0;0;6;2;0;0;9;1;0;0;12;0;0;0;11;1;0;0
30-39;10;1;1;1;9;1;3;2;11;1;1;1;15;1;1;1;16;1;2;2;18;2;1;1;15;1;1;1;10;1;1;1;8;5;0;0;7;1;1;1;6;1;1;1;2;0;0;0;3;0;0;0;3;0;0;0;6;0;0;0;4;0;1;1
40-49;3;1;0;0;4;1;3;3;12;0;1;1;17;0;7;5;6;0;2;1;9;0;0;0;5;3;2;1;1;1;0;0;1;1;3;2;0;2;0;0;1;1;0;0;0;0;0;0;0;0;1;1;4;0;1;1;4;1;1;1;9;0;1;1
50-59;4;0;2;2;5;1;4;3;1;2;1;0;5;0;1;1;5;0;4;4;0;1;1;1;3;0;1;1;0;0;0;0;1;1;1;1;3;1;0;0;0;0;1;0;1;0;0;0;0;1;1;1;0;1;0;0;2;2;0;0;5;1;0;0
60-69;1;0;0;0;1;0;1;1;1;0;2;2;1;1;1;1;0;0;0;0;1;0;0;0;0;0;2;2;2;0;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;2;2;0;0;1;1;1;0;0;1;1;1;0;1;0;0
70-79;0;0;2;2;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0;0;2;2;0;0;1;1;2;1;1;1;1;0;0;0;2;0;0;0;0;0;2;2;0;1;1;1
80+;0;0;0;0;0;0;2;2;0;0;1;1;0;0;1;1;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;4;0;0;2;2;0;0;1;1
12+;35;2;8;8;49;5;16;14;69;5;12;11;86;2;11;9;93;3;14;11;77;7;6;3;67;10;12;10;44;8;4;3;55;18;15;13;47;10;6;6;20;8;4;3;10;1;1;1;15;5;2;2;26;3;6;5;30;4;6;6;38;4;4;4
