Aldersgruppe;Uge 45_Ingen vaccination;Uge 45_Første vaccination;Uge 45_Anden vaccination;Uge 45_Fuld vaccineeffekt;Uge 44_Ingen vaccination;Uge 44_Første vaccination;Uge 44_Anden vaccination;Uge 44_Fuld vaccineeffekt;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt
12-15;1277;786,9;125,6;125,6;857,4;462;75,8;76,6;664,6;189,2;46,2;46,9;472,2;197,4;30,5;30,3;284,5;70,3;17,7;17,3;276,4;77,3;9,6;10,2;196,4;80,7;9,3;7,7;202,7;64,9;4,9;4,3;170,8;40,9;2,6;2,6;203,5;70,8;11,6;7,4;347,5;119,9;22,4;19,6;471,8;144,2;49,4;32,9;506,6;136,2;74,1;34,2;363,5;136,4;156,9;129,9;266,8;98,5;243,9;0;170;98,6;0;0
16-19;908;672,1;189;188,8;606,7;325,2;148,5;148,6;648,1;207,2;124,7;124,4;404,3;110,8;60,3;59,8;232,6;190,8;35,4;35,3;194,1;64,9;31,2;31,5;185,1;58,1;13,9;14,1;137,8;88,6;14,9;15,2;145,1;32,8;6,2;5,4;261,2;46,5;17,5;16,2;299,7;189,1;24,6;24,6;504,6;209,5;34,1;32,4;623;195,6;48,1;44,7;679,7;228,9;65,2;54;645,6;255,9;77,6;48,9;522,3;311,9;111,4;89,9
20-29;668,9;597,3;286,6;286,5;532,6;280,7;179;179,5;512;256,8;144,3;145,1;360,3;177;89;88,5;207,8;113,8;52,4;52,8;171,4;81,2;33,6;33,7;127,9;65,6;24,5;24,7;111,6;50,1;15,9;15,3;112,7;48,8;19,5;19,4;167,6;104,5;29;30,6;213,4;101,2;36,5;38;301,9;100;41;46,7;382,8;115,4;67,5;74,4;492,2;163,5;110,4;108,9;436,1;182,1;172;167,6;394,9;287,6;240,8;200,3
30-39;725,1;572,3;334,1;335,5;570,2;426,5;214,4;214,2;462,2;312,7;159,7;160,2;402,8;219,8;122,2;122,9;208,6;77,1;63,3;63,5;187,1;155,9;46,8;46,4;142;117,9;35,9;35,8;117,9;81,5;31,3;31,8;110,9;80,1;26,2;26,3;177,8;120,6;35,2;36;227,1;105,1;48,5;51,5;288,1;137,8;61,5;81;333,3;107,6;76,6;107,2;303;91,1;97,9;98,3;263,8;90,8;87,7;93,9;181,6;103,2;102,7;108,3
40-49;844,2;690,1;412,8;413,1;601,3;485,4;262,6;262,6;500,2;371,6;204,4;204,3;371,5;258,2;159,6;160;253,7;207,1;84,6;84,9;183,7;170,1;60,5;60,6;153,6;143,7;42,7;42,9;128,4;71,1;32,5;32,8;102,2;46;25,2;25,3;144,9;154,7;34,2;34,5;222,1;205,3;55,1;54,9;330,7;204,3;72,9;72,2;308,5;219,6;56;56,6;286,5;170,1;61;54,2;273,9;133,7;47,1;51,1;192,4;85,4;47,4;48,5
50-59;609,6;341,8;271,5;271,4;399;437,7;191,9;191,7;365,9;198,5;154,4;154,5;224,2;279,4;113,6;113,7;126,8;103,2;54,6;54,5;109;58,5;41,8;41,4;140,5;54,6;28,5;28,3;90,7;65,9;21,2;21,2;81,5;59,5;17,3;17,1;131,5;159,2;25,2;24,7;162;80,5;38,5;38,4;217,6;215,1;40;39,9;206,8;156;38,7;38,3;206,9;173,4;32,7;32,3;191,8;153,3;28,3;28,4;128,4;93,6;24,1;26,1
60-64;326,7;302,3;218;218,1;363,4;78,5;173,2;173,3;264,9;156,5;141,2;141,3;173,9;303;105,5;105,5;139,6;0;53,3;53,4;94,4;272,5;32,4;32,5;82,7;318,9;21,8;21,9;65,7;115,2;15,8;15,8;59,7;106;20;20,1;112,6;149,1;24,3;24,4;84,6;0;29,5;29,7;119,5;77,9;29;28,9;132,8;218,2;29,4;29,3;135,5;68,2;27;27;83,8;75,3;19,1;18,8;86,5;108,1;20,2;20,1
65-69;275,4;366,7;206,9;206,9;152,5;255,4;156,7;156,7;207,3;385,6;132,2;132,3;103;129;94;94,1;71;361,9;49,6;49,6;86,3;0;35,3;35;62,3;216,2;24,2;24,2;69,6;197;16,3;16,3;30,6;88,7;13,4;13,4;68,3;83,4;16,3;16,4;82,5;0;23,9;23,9;118;138,7;25,9;25,6;65,4;228,6;31,5;31,6;57,3;0;19,4;18,8;35,2;35,4;20,7;20,9;55,3;117,9;12,2;12
70-79;188,1;504;200,8;200,8;144,5;207;153,4;153,3;143,4;210,1;138;138;130,8;204,3;115,4;115,4;29,6;0;49,4;49,3;29,4;90,4;31,9;31,9;35;257,5;21,3;21,3;40,5;154,8;23,1;23,1;40;72;15;15;22,7;135;21,1;21,1;50,3;63,2;20,8;20,8;66;118,6;26,5;26,5;65,1;0;19,5;19,4;21,4;0;18,1;18;26,4;33,4;12,6;12,4;10,4;0;10,8;10,8
80+;188,8;389,1;133,1;133,2;143,1;128,2;109,4;109,4;131;123,8;92,6;92,6;108,3;239,2;78,1;78,1;107,6;114,4;33,5;33,5;21,4;331,9;29,4;29,4;42,4;212,5;18,3;18,4;31,3;0;27,9;27,9;20,6;0;17,9;18;30,5;0;24,5;24,5;110,7;172,4;25,5;24,8;89,2;83,8;23,7;23,7;29,4;0;23,3;23,3;67,7;129,9;17,1;17,1;0;0;13,1;13,1;9,4;0;9,1;9,1
12+;749,4;611;265,7;265,9;554,2;372,9;182,4;182,6;485,3;262,6;146,6;146,9;356,4;204;108;108,2;207,3;112,8;54,9;55;176;111,5;39;39;141,6;98,2;27,1;27,1;121,5;70;22,4;22,5;111,5;55,4;18,4;18,4;165,5;104;26,1;26,2;225,4;118,6;35,7;35,9;315,3;139,8;42,4;42,5;357,3;129,9;43,7;41,2;359,4;134,3;45,4;37,4;311,8;135,9;41,3;32,8;241,6;173,2;40,8;29,5
