Aldersgruppe;Uge 45_Ingen vaccination;Uge 45_Første vaccination;Uge 45_Anden vaccination;Uge 45_Fuld vaccineeffekt;Uge 44_Ingen vaccination;Uge 44_Første vaccination;Uge 44_Anden vaccination;Uge 44_Fuld vaccineeffekt;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt
12-15;1468,5;874,5;132,1;132;976,3;521,2;79,2;79,9;754,7;213;48;48,6;541,9;222,2;32;31,8;325,5;78,9;18,5;18,1;311;86,3;10;10,7;221,9;89,3;9,7;8;227,4;70,9;5,1;4,4;189,8;44,1;2,7;2,7;223,9;75,4;12;7,6;378,1;126,5;23,3;20,4;511,3;149,8;49,9;25,7;547,8;142;77;35,4;388,2;141,8;163,1;134,6;285,7;102,3;252,6;0;180,4;102,3;0;0
16-19;1075,1;895,8;204,8;204,5;736;449,7;161,5;161,5;778,3;285,5;135,4;134,9;486,8;151,8;64,8;64,1;264,4;262,5;38,6;38,3;227,9;88,8;33;33,3;227,8;78,8;13,2;13,4;167,8;118,9;15,7;15,9;175,8;43,4;6,7;5,9;310,2;60,6;18,4;17;352,1;241,2;26;26,3;568,2;257,9;35,6;33,6;709,5;232;51,6;47,6;779,8;256,6;67,9;55,1;750,5;283,1;82,6;52,1;598,1;338,5;117,6;92,9
20-29;753;745,9;309,4;309;592,9;357,2;193,3;193,6;574,5;321,5;154,9;155,5;404,9;220,9;95,2;94,6;238,1;145,4;56,5;56,9;192,9;103,2;35,8;36,3;143,9;82,7;26,1;26,4;128,3;62,4;17,2;16,5;126;60;21;20,9;184;125,9;30,8;32,5;231,8;114;38,8;40,5;331,1;110,9;43,3;49,1;419;125,9;72,1;79,7;527,6;174,6;117,3;116,8;465,4;192,7;182,2;178,8;423,4;304,1;255,4;210,6
30-39;806,2;667,1;352,7;353,8;631,1;465,5;226,3;226;508,7;360,1;168;168,3;440,6;257,7;128,5;129,1;227,5;90,2;66,4;66,6;207,4;181,7;48,8;48,2;156,3;136,5;38;37,8;129,6;93,1;33;33,5;120;90,6;26,8;27;193,1;129,3;36,8;37,5;245,8;113,1;50,4;53,4;310,8;146,7;64,2;84,5;357,8;113,2;79,3;112,1;324;95,4;101,7;101,7;279,1;94,5;91,4;98;190,5;107,7;107,3;113,2
40-49;933,3;830,6;435,6;435,7;663,5;595,1;277,2;277,1;550,5;456,5;214,8;214,6;406,2;316;168,2;168,5;277;253,2;88,8;89,1;204,5;207,3;63,5;63,6;170,2;174;44,7;44,8;138,8;85,5;34,3;34,6;113;54,9;26,1;26,2;157,9;182,5;36,1;36,3;243,4;232,6;57,5;57,2;354,3;233,4;76,5;75,6;324,4;243,6;57,9;58,3;312,7;184;63,7;56,5;295,9;142,6;49,3;53,7;209,6;88,8;49,1;51,2
50-59;658,4;405,7;285,4;285,3;434;514,9;201,7;201,5;395,6;233;162,1;162,1;245,1;327,2;118,5;118,7;137,8;120,6;57,4;57,3;120;68,2;43,8;43,3;154,4;63,8;30;29,8;97,6;76,9;22,2;22,1;89,2;69,4;18,2;18;134,8;185,1;26,2;25,6;168,1;80,2;39,7;39,7;235,9;226,2;41,8;41,8;219,1;179,9;40,5;40;217,8;198,6;33,7;33,2;209,7;169,5;29,5;29,6;135,7;103,9;25;27,2
60-64;342,7;257,1;226;226,2;387,9;89,3;179,3;179,4;282,6;178,3;147,1;147,2;185,4;347,5;109,2;109,3;148,8;0;55,2;55,3;100,5;305,1;33,8;33,8;82,2;357,7;22,7;22,8;69,9;128,6;15,8;15,8;63,4;118,2;20,8;20,9;119,5;168,1;25,3;25,4;89,8;0;30,7;30,8;126,8;87,3;29,8;29,7;135,6;242,4;30,2;30,1;143,8;75,6;28,1;28;83,7;83,8;19,8;19,5;91,9;120,6;20,9;20,8
65-69;286,8;402,7;212,4;212,5;158,8;281,7;160,7;160,8;215,7;427,4;135,5;135,6;107,2;142,9;95,9;96;73,8;266,7;51;51;89,8;0;36,2;35,9;64,8;234,7;24,8;24,8;64,3;212,5;16,8;16,8;31,8;95,1;13,1;13,1;70,9;89,6;16,8;16,8;77,9;0;24,5;24,5;114,8;148,8;26,2;25,9;67,9;183,9;32,3;32,4;59,4;0;19,9;19,3;36,6;38,3;21,3;21,4;57,4;127,2;11,8;11,6
70-79;193,7;540;204,8;204,9;148,8;222,2;156,6;156,4;147,6;225,5;140,8;140,8;134,6;218,8;116,9;117;30,4;0;50,5;50,3;30,2;96,4;32,2;32,2;36;274;21,7;21,8;41,6;164,9;23,4;23,4;35,3;76,9;15,2;15,2;23,3;144,4;21,2;21,2;46;67;21;21;67,9;125,9;27;27,1;66,9;0;19,9;19,8;22;0;18,5;18,3;27,2;35,1;12,8;12,7;10,7;0;11;11
80+;193,6;414,4;135,1;135,2;146,6;136,8;110,4;110,4;134,3;131,6;94,3;94,4;111;255,8;79,8;79,9;110,3;122,4;33,5;33,5;21,9;353,8;29,3;29,3;43,4;226,2;18,8;18,8;32,1;0;28,1;28,1;21,1;0;18;18;31,3;0;25;25;113,4;183;25,4;24,6;91,4;88,6;23,8;23,9;30,1;0;23,4;23,5;69,5;136,7;17,1;17,1;0;0;13,4;13,4;9,7;0;8,9;8,9
