Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  19.558 (49);  20.752 (51);  40.310
10-19;  37.014 (49);  37.867 (51);  74.881
20-29;  42.732 (49);  44.229 (51);  86.961
30-39;  30.675 (51);  29.898 (49);  60.573
40-49;  31.817 (53);  28.728 (47);  60.545
50-59;  26.290 (50);  25.837 (50);  52.127
60-69;  13.731 (49);  14.299 (51);  28.030
70-79;   8.634 (49);   8.830 (51);  17.464
80-89;   4.406 (56);   3.407 (44);   7.813
90+;   1.527 (70);     660 (30);   2.187
I alt; 216.384 (50); 214.507 (50); 430.891
