Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   2.242 (49);   2.369 (51);   4.611
10-19;   6.528 (48);   7.050 (52);  13.578
20-29;   8.078 (50);   8.062 (50);  16.140
30-39;   5.719 (50);   5.685 (50);  11.404
40-49;   6.629 (52);   6.029 (48);  12.658
50-59;   6.217 (51);   6.040 (49);  12.257
60-69;   3.049 (47);   3.406 (53);   6.455
70-79;   1.906 (48);   2.053 (52);   3.959
80-89;   1.075 (56);     847 (44);   1.922
90+;     391 (71);     160 (29);     551
I alt;  41.834 (50);  41.701 (50);  83.535
