Ugenummer;antal_personer_alle_Ingen vaccination;antal_personer_alle_Første vaccination;antal_personer_alle_Anden vaccination;antal_personer_alle_Fuld effekt efter primært forløb;antal_personer_alle_Fuld effekt efter revaccination;antal_personer_Ingen vaccination;antal_personer_Første vaccination;antal_personer_Anden vaccination;antal_personer_Fuld effekt efter primært forløb;antal_personer_Fuld effekt efter revaccination;antal_cases_Ingen vaccination;antal_cases_Første vaccination;antal_cases_Anden vaccination;antal_cases_Fuld effekt efter primært forløb;antal_cases_Fuld effekt efter revaccination;antal_tests_Ingen vaccination;antal_tests_Første vaccination;antal_tests_Anden vaccination;antal_tests_Fuld effekt efter primært forløb;antal_tests_Fuld effekt efter revaccination;antal_tests_notprevpos_Ingen vaccination;antal_tests_notprevpos_Første vaccination;antal_tests_notprevpos_Anden vaccination;antal_tests_notprevpos_Fuld effekt efter primært forløb;antal_tests_notprevpos_Fuld effekt efter revaccination;antal_tests_total_Ingen vaccination;antal_tests_total_Første vaccination;antal_tests_total_Anden vaccination;antal_tests_total_Fuld effekt efter primært forløb;antal_tests_total_Fuld effekt efter revaccination;antal_repositive_Ingen vaccination;antal_repositive_Første vaccination;antal_repositive_Anden vaccination;antal_repositive_Fuld effekt efter primært forløb;antal_repositive_Fuld effekt efter revaccination;antal_indlagte_Ingen vaccination;antal_indlagte_Første vaccination;antal_indlagte_Anden vaccination;antal_indlagte_Fuld effekt efter primært forløb;antal_indlagte_Fuld effekt efter revaccination
Uge 51-2021;1120530;236130;4518884;3462086;1013094;995667;209060;4228623;3218211;975495;14232;3614;58440;52308;5675;148215;49441;864935;659942;197434;133967;44947;806157;613878;186383;177345;58443;1032038;780727;242411;1024;122;2390;2150;205;313;27;482;349;124
Uge 50-2021;1202835;177195;4496706;3635567;819038;1081854;154334;4225517;3402735;788656;18909;4261;50021;46507;3189;219564;46553;920356;745881;166469;200922;41805;860911;697422;157077;292790;64198;1166813;939507;217058;747;89;1777;1645;102;283;26;473;370;100
Uge 49-2021;1273732;129968;4473439;3816708;625800;1156795;108795;4218508;3591566;601241;18021;2276;27337;25791;1352;234016;26489;844868;709861;129879;215304;22843;794346;667534;122533;316523;35680;1051893;879297;166050;344;41;431;391;39;241;17;411;348;62
Uge 48-2021;1313442;109710;4454787;3943033;490165;1199179;89708;4210901;3723119;469858;14776;929;18526;17760;686;227510;18468;786111;681760;101246;209128;15193;740910;642993;95338;303538;23682;949270;819776;125668;230;22;125;113;11;222;16;376;320;54
Uge 47-2021;1332581;102250;4443510;4025423;398136;1219705;83902;4208014;3809902;381582;12803;716;15302;14772;459;224948;16767;764540;679508;82178;207507;13927;722369;642583;77371;293230;20853;916530;811522;101544;208;12;100;94;6;219;13;327;301;26
Uge 46-2021;1355743;89076;4433785;4091743;325124;1241468;73818;4204397;3878515;311861;12519;697;14737;14283;395;218426;14321;712570;648603;61710;201439;12117;674210;613993;58294;283324;17635;853513;775216;75526;202;6;84;80;3;210;8;328;296;32
Uge 45-2021;1381633;72540;4424758;4164572;244536;1265265;60140;4199340;3951673;234676;10462;435;11703;11475;195;203510;10551;669953;626444;41466;187987;9092;634264;593376;39134;259984;12730;797241;745032;49710;174;7;61;60;1;145;15;290;268;22
Uge 44-2021;1392869;68147;4418174;4240993;160721;1276774;56325;4195677;4027632;154297;7605;250;8017;7884;108;150030;7104;527581;505709;20066;139336;6124;499628;479246;18847;193530;8560;629890;604162;23523;130;5;39;36;3;160;9;205;191;11
Uge 43-2021;1401484;67844;4410722;4277356;115456;1285607;56040;4190803;4065208;110538;5195;177;6427;6346;66;106622;5875;433115;419946;11619;98544;5095;410368;398206;10824;127285;6822;495004;479992;13205;107;3;39;38;1;113;3;182;167;15
Uge 42-2021;1407245;69646;4403476;4296545;85020;1291764;57505;4185817;4086114;81067;3747;142;4716;4656;45;85057;4960;326778;318273;7021;78714;4346;310326;302512;6496;98521;5644;362820;353406;7740;74;1;37;36;1;90;8;143;136;7
Uge 41-2021;1412310;74515;4393937;4298975;67677;1297222;61732;4178641;4090939;64228;2502;82;2396;2371;16;88536;5369;230746;224554;4037;81784;4718;217773;212213;3674;104332;6160;259412;252550;4426;37;1;14;12;2;73;3;84;75;8
Uge 40-2021;1417830;80775;4382470;4301467;42195;1303717;67303;4170117;4096426;40049;2217;90;1691;1672;6;62124;3880;169421;165661;2060;57676;3482;160258;156881;1885;73044;4443;189776;185603;2245;32;0;18;14;2;53;2;54;54;0
Uge 39-2021;1423979;91781;4366383;4298882;12580;1311719;77086;4157984;4097887;12005;1715;90;1174;1155;5;54268;3761;157569;155028;523;50383;3349;149313;147038;489;63790;4302;175232;172378;574;25;0;9;8;0;38;4;42;42;0
Uge 38-2021;1431774;110189;4340422;4265649;893;1322403;93758;4137159;4070669;840;1433;77;966;953;0;54950;4760;155740;153089;48;51326;4299;147716;145326;43;63871;5400;171172;168161;53;16;0;6;6;0;32;2;54;54;0
Uge 37-2021;1441768;133806;4307266;4197647;686;1335224;115367;4109842;4010412;645;1294;74;781;763;0;58482;6528;169430;165233;50;54440;5933;160679;156831;43;67589;7453;186798;182070;53;17;0;11;10;0;38;5;44;43;0
Uge 36-2021;1454914;168666;4259770;4066229;606;1350828;147938;4068932;3890154;568;1905;173;1103;1058;0;75133;10266;202611;192976;43;70163;9387;192698;183653;36;87003;11741;225141;214284;54;40;2;8;8;0;85;9;59;57;0
