Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.683 (48);  10.518 (52);  20.201
10-19;  21.109 (49);  22.271 (51);  43.380
20-29;  26.046 (50);  25.550 (50);  51.596
30-39;  18.985 (50);  18.664 (50);  37.649
40-49;  20.873 (53);  18.753 (47);  39.626
50-59;  19.296 (51);  18.642 (49);  37.938
60-69;   9.845 (48);  10.474 (52);  20.319
70-79;   5.909 (49);   6.068 (51);  11.977
80-89;   3.472 (58);   2.533 (42);   6.005
90+;   1.315 (70);     551 (30);   1.866
I alt; 136.533 (50); 134.024 (50); 270.557
