Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   8.346 (48);   8.987 (52);  17.333
10-19;  17.982 (49);  18.847 (51);  36.829
20-29;  22.794 (51);  21.820 (49);  44.614
30-39;  16.838 (51);  16.156 (49);  32.994
40-49;  18.560 (53);  16.397 (47);  34.957
50-59;  17.480 (51);  16.532 (49);  34.012
60-69;   9.001 (49);   9.478 (51);  18.479
70-79;   5.606 (49);   5.753 (51);  11.359
80-89;   3.400 (58);   2.493 (42);   5.893
90+;   1.295 (71);     541 (29);   1.836
I alt; 121.302 (51); 117.004 (49); 238.306
