Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   4.998 (48);   5.368 (52);  10.366
10-19;  13.028 (49);  13.694 (51);  26.722
20-29;  16.111 (51);  15.373 (49);  31.484
30-39;  11.386 (51);  10.821 (49);  22.207
40-49;  12.957 (53);  11.290 (47);  24.247
50-59;  12.147 (52);  11.334 (48);  23.481
60-69;   6.079 (49);   6.371 (51);  12.450
70-79;   3.796 (49);   3.921 (51);   7.717
80-89;   2.126 (57);   1.572 (43);   3.698
90+;     781 (71);     326 (29);   1.107
I alt;  83.409 (51);  80.070 (49); 163.479
