Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   8.680 (48);   9.390 (52);  18.070
10-19;  18.546 (49);  19.513 (51);  38.059
20-29;  23.405 (51);  22.455 (49);  45.860
30-39;  17.311 (51);  16.673 (49);  33.984
40-49;  19.033 (53);  16.864 (47);  35.897
50-59;  17.872 (51);  16.954 (49);  34.826
60-69;   9.177 (49);   9.695 (51);  18.872
70-79;   5.694 (49);   5.836 (51);  11.530
80-89;   3.419 (58);   2.502 (42);   5.921
90+;   1.305 (71);     544 (29);   1.849
I alt; 124.442 (51); 120.426 (49); 244.868
