Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.080 (48);  10.941 (52);  21.021
10-19;  22.409 (49);  23.686 (51);  46.095
20-29;  27.612 (50);  27.501 (50);  55.113
30-39;  19.750 (50);  19.505 (50);  39.255
40-49;  21.764 (53);  19.651 (47);  41.415
50-59;  20.001 (51);  19.416 (49);  39.417
60-69;  10.053 (48);  10.753 (52);  20.806
70-79;   5.951 (49);   6.116 (51);  12.067
80-89;   3.481 (58);   2.549 (42);   6.030
90+;   1.318 (70);     552 (30);   1.870
I alt; 142.419 (50); 140.670 (50); 283.089
