Dato;Antal_døde
2020-03-11;1
2020-03-12;0
2020-03-13;0
2020-03-14;1
2020-03-15;2
2020-03-16;1
2020-03-17;1
2020-03-18;4
2020-03-19;5
2020-03-20;4
2020-03-21;3
2020-03-22;3
2020-03-23;6
2020-03-24;6
2020-03-25;6
2020-03-26;12
2020-03-27;12
2020-03-28;9
2020-03-29;8
2020-03-30;11
2020-03-31;15
2020-04-01;22
2020-04-02;18
2020-04-03;20
2020-04-04;15
2020-04-05;12
2020-04-06;17
2020-04-07;12
2020-04-08;15
2020-04-09;13
2020-04-10;16
2020-04-11;11
2020-04-12;11
2020-04-13;16
2020-04-14;12
2020-04-15;10
2020-04-16;12
2020-04-17;9
2020-04-18;10
2020-04-19;6
2020-04-20;7
2020-04-21;12
2020-04-22;14
2020-04-23;10
2020-04-24;6
2020-04-25;5
2020-04-26;5
2020-04-27;9
2020-04-28;10
2020-04-29;9
2020-04-30;9
2020-05-01;11
2020-05-02;8
2020-05-03;9
2020-05-04;7
2020-05-05;3
2020-05-06;6
2020-05-07;6
2020-05-08;4
2020-05-09;3
2020-05-10;5
2020-05-11;4
2020-05-12;7
2020-05-13;5
2020-05-14;0
2020-05-15;6
2020-05-16;3
2020-05-17;3
2020-05-18;3
2020-05-19;2
2020-05-20;5
2020-05-21;0
2020-05-22;1
2020-05-23;1
2020-05-24;1
2020-05-25;0
2020-05-26;3
2020-05-27;1
2020-05-28;0
2020-05-29;1
2020-05-30;4
2020-05-31;2
2020-06-01;3
2020-06-02;1
2020-06-03;1
2020-06-04;4
2020-06-05;2
2020-06-06;3
2020-06-07;2
2020-06-08;0
2020-06-09;0
2020-06-10;0
2020-06-11;1
2020-06-12;3
2020-06-13;0
2020-06-14;1
2020-06-15;0
2020-06-16;1
2020-06-17;1
2020-06-18;1
2020-06-19;1
2020-06-20;1
2020-06-21;0
2020-06-22;0
2020-06-23;1
2020-06-24;0
2020-06-25;1
2020-06-26;0
2020-06-27;0
2020-06-28;1
2020-06-29;0
2020-06-30;0
2020-07-01;0
2020-07-02;0
2020-07-03;0
2020-07-04;1
2020-07-05;0
2020-07-06;2
2020-07-07;0
2020-07-08;0
2020-07-09;0
2020-07-10;1
2020-07-11;0
2020-07-12;0
2020-07-13;0
2020-07-14;0
2020-07-15;0
2020-07-16;0
2020-07-17;1
2020-07-18;0
2020-07-19;0
2020-07-20;0
I alt;611
