Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   2.014 (49);   2.122 (51);   4.136
10-19;   5.888 (48);   6.359 (52);  12.247
20-29;   7.445 (50);   7.400 (50);  14.845
30-39;   5.281 (50);   5.250 (50);  10.531
40-49;   6.082 (52);   5.579 (48);  11.661
50-59;   5.745 (51);   5.575 (49);  11.320
60-69;   2.837 (47);   3.142 (53);   5.979
70-79;   1.763 (48);   1.922 (52);   3.685
80-89;   1.000 (55);     803 (45);   1.803
90+;     361 (71);     150 (29);     511
I alt;  38.416 (50);  38.302 (50);  76.718
