Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   4.928 (48);   5.284 (52);  10.212
10-19;  12.851 (49);  13.574 (51);  26.425
20-29;  15.903 (51);  15.186 (49);  31.089
30-39;  11.226 (51);  10.671 (49);  21.897
40-49;  12.780 (53);  11.154 (47);  23.934
50-59;  11.979 (52);  11.206 (48);  23.185
60-69;   5.963 (49);   6.278 (51);  12.241
70-79;   3.722 (49);   3.838 (51);   7.560
80-89;   2.067 (57);   1.542 (43);   3.609
90+;     758 (70);     320 (30);   1.078
I alt;  82.177 (51);  79.053 (49); 161.230
