Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   6.689 (48);   7.240 (52);  13.929
10-19;  15.592 (49);  16.331 (51);  31.923
20-29;  20.106 (51);  18.973 (49);  39.079
30-39;  14.569 (51);  13.793 (49);  28.362
40-49;  16.366 (54);  14.063 (46);  30.429
50-59;  15.664 (52);  14.391 (48);  30.055
60-69;   8.104 (49);   8.448 (51);  16.552
70-79;   5.108 (49);   5.262 (51);  10.370
80-89;   3.212 (58);   2.340 (42);   5.552
90+;   1.258 (71);     518 (29);   1.776
I alt; 106.668 (51); 101.359 (49); 208.027
