Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   2.510 (49);   2.633 (51);   5.143
10-19;   7.458 (48);   8.044 (52);  15.502
20-29;   8.974 (50);   9.007 (50);  17.981
30-39;   6.311 (50);   6.231 (50);  12.542
40-49;   7.304 (52);   6.705 (48);  14.009
50-59;   6.837 (51);   6.636 (49);  13.473
60-69;   3.334 (48);   3.680 (52);   7.014
70-79;   2.110 (49);   2.228 (51);   4.338
80-89;   1.149 (56);     907 (44);   2.056
90+;     413 (70);     178 (30);     591
I alt;  46.400 (50);  46.249 (50);  92.649
