Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.126 (48);  10.979 (52);  21.105
10-19;  22.553 (49);  23.810 (51);  46.363
20-29;  27.734 (50);  27.683 (50);  55.417
30-39;  19.809 (50);  19.581 (50);  39.390
40-49;  21.822 (53);  19.715 (47);  41.537
50-59;  20.044 (51);  19.458 (49);  39.502
60-69;  10.067 (48);  10.765 (52);  20.832
70-79;   5.952 (49);   6.118 (51);  12.070
80-89;   3.481 (58);   2.549 (42);   6.030
90+;   1.318 (70);     553 (30);   1.871
I alt; 142.906 (50); 141.211 (50); 284.117
