Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.245 (48);  11.084 (52);  21.329
10-19;  22.907 (49);  24.238 (51);  47.145
20-29;  28.152 (50);  28.179 (50);  56.331
30-39;  19.990 (50);  19.804 (50);  39.794
40-49;  22.038 (53);  19.937 (47);  41.975
50-59;  20.183 (51);  19.647 (49);  39.830
60-69;  10.108 (48);  10.804 (52);  20.912
70-79;   5.961 (49);   6.130 (51);  12.091
80-89;   3.488 (58);   2.554 (42);   6.042
90+;   1.321 (70);     555 (30);   1.876
I alt; 144.393 (50); 142.932 (50); 287.325
