Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   1.874 (49);   1.975 (51);   3.849
10-19;   5.389 (48);   5.855 (52);  11.244
20-29;   7.006 (50);   6.922 (50);  13.928
30-39;   4.962 (50);   4.887 (50);   9.849
40-49;   5.682 (52);   5.221 (48);  10.903
50-59;   5.403 (51);   5.212 (49);  10.615
60-69;   2.668 (48);   2.941 (52);   5.609
70-79;   1.643 (47);   1.820 (53);   3.463
80-89;     952 (56);     757 (44);   1.709
90+;     346 (71);     139 (29);     485
I alt;  35.925 (50);  35.729 (50);  71.654
