Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.272 (48);  11.112 (52);  21.384
10-19;  22.994 (49);  24.355 (51);  47.349
20-29;  28.293 (50);  28.313 (50);  56.606
30-39;  20.045 (50);  19.872 (50);  39.917
40-49;  22.107 (53);  19.997 (47);  42.104
50-59;  20.231 (51);  19.685 (49);  39.916
60-69;  10.118 (48);  10.818 (52);  20.936
70-79;   5.963 (49);   6.134 (51);  12.097
80-89;   3.489 (58);   2.554 (42);   6.043
90+;   1.321 (70);     556 (30);   1.877
I alt; 144.833 (50); 143.396 (50); 288.229
