Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   5.398 (48);   5.837 (52);  11.235
10-19;  13.872 (49);  14.499 (51);  28.371
20-29;  17.450 (51);  16.524 (49);  33.974
30-39;  12.333 (51);  11.663 (49);  23.996
40-49;  13.923 (54);  12.086 (46);  26.009
50-59;  13.220 (52);  12.216 (48);  25.436
60-69;   6.718 (49);   7.000 (51);  13.718
70-79;   4.234 (50);   4.312 (50);   8.546
80-89;   2.454 (58);   1.798 (42);   4.252
90+;     925 (71);     375 (29);   1.300
I alt;  90.527 (51);  86.310 (49); 176.837
