"Kommune";"Dato";"Bekræftede tilfælde"
151;2020-03-13;1
157;2020-03-13;2
187;2020-03-13;1
219;2020-03-13;1
230;2020-03-13;2
253;2020-03-13;2
270;2020-03-13;3
376;2020-03-13;1
430;2020-03-13;1
657;2020-03-13;1
661;2020-03-13;1
751;2020-03-13;3
791;2020-03-13;2
840;2020-03-13;1
101;2020-03-14;3
147;2020-03-14;3
151;2020-03-14;1
153;2020-03-14;2
157;2020-03-14;2
159;2020-03-14;2
165;2020-03-14;1
167;2020-03-14;1
175;2020-03-14;1
259;2020-03-14;3
330;2020-03-14;2
340;2020-03-14;2
410;2020-03-14;1
461;2020-03-14;2
607;2020-03-14;1
615;2020-03-14;1
621;2020-03-14;1
657;2020-03-14;2
727;2020-03-14;1
751;2020-03-14;2
773;2020-03-14;1
820;2020-03-14;1
851;2020-03-14;1
101;2020-03-15;10
153;2020-03-15;2
157;2020-03-15;1
159;2020-03-15;1
161;2020-03-15;1
167;2020-03-15;2
175;2020-03-15;2
185;2020-03-15;1
210;2020-03-15;1
223;2020-03-15;1
230;2020-03-15;1
240;2020-03-15;1
259;2020-03-15;2
265;2020-03-15;2
320;2020-03-15;1
330;2020-03-15;4
370;2020-03-15;1
400;2020-03-15;1
479;2020-03-15;1
482;2020-03-15;1
630;2020-03-15;1
661;2020-03-15;1
730;2020-03-15;2
756;2020-03-15;1
787;2020-03-15;1
851;2020-03-15;1
860;2020-03-15;1
101;2020-03-16;23
147;2020-03-16;3
151;2020-03-16;2
153;2020-03-16;1
157;2020-03-16;2
159;2020-03-16;3
161;2020-03-16;1
163;2020-03-16;1
173;2020-03-16;4
175;2020-03-16;1
185;2020-03-16;1
190;2020-03-16;1
217;2020-03-16;2
219;2020-03-16;1
230;2020-03-16;1
240;2020-03-16;2
250;2020-03-16;1
253;2020-03-16;1
259;2020-03-16;1
265;2020-03-16;1
316;2020-03-16;2
320;2020-03-16;1
329;2020-03-16;1
330;2020-03-16;5
340;2020-03-16;1
360;2020-03-16;1
370;2020-03-16;1
430;2020-03-16;1
461;2020-03-16;1
479;2020-03-16;3
561;2020-03-16;1
657;2020-03-16;2
849;2020-03-16;1
101;2020-03-17;20
147;2020-03-17;2
151;2020-03-17;1
153;2020-03-17;2
157;2020-03-17;2
159;2020-03-17;5
161;2020-03-17;2
163;2020-03-17;1
165;2020-03-17;2
173;2020-03-17;3
185;2020-03-17;1
187;2020-03-17;1
190;2020-03-17;3
217;2020-03-17;1
223;2020-03-17;1
230;2020-03-17;1
259;2020-03-17;2
265;2020-03-17;2
320;2020-03-17;1
330;2020-03-17;3
370;2020-03-17;2
430;2020-03-17;1
450;2020-03-17;1
561;2020-03-17;1
575;2020-03-17;1
607;2020-03-17;1
621;2020-03-17;1
657;2020-03-17;2
710;2020-03-17;1
751;2020-03-17;3
791;2020-03-17;1
813;2020-03-17;1
851;2020-03-17;3
101;2020-03-18;20
147;2020-03-18;3
151;2020-03-18;2
153;2020-03-18;2
155;2020-03-18;1
157;2020-03-18;4
159;2020-03-18;2
161;2020-03-18;1
167;2020-03-18;1
169;2020-03-18;1
175;2020-03-18;2
201;2020-03-18;1
217;2020-03-18;1
219;2020-03-18;2
230;2020-03-18;2
250;2020-03-18;2
270;2020-03-18;1
326;2020-03-18;2
330;2020-03-18;9
340;2020-03-18;1
350;2020-03-18;1
360;2020-03-18;1
410;2020-03-18;1
479;2020-03-18;1
561;2020-03-18;1
630;2020-03-18;1
661;2020-03-18;2
710;2020-03-18;1
730;2020-03-18;1
740;2020-03-18;2
751;2020-03-18;4
779;2020-03-18;1
787;2020-03-18;1
851;2020-03-18;4
860;2020-03-18;1
101;2020-03-19;20
147;2020-03-19;5
151;2020-03-19;2
153;2020-03-19;1
155;2020-03-19;1
157;2020-03-19;4
159;2020-03-19;3
163;2020-03-19;2
165;2020-03-19;1
167;2020-03-19;1
169;2020-03-19;1
173;2020-03-19;1
185;2020-03-19;1
190;2020-03-19;2
210;2020-03-19;1
217;2020-03-19;3
223;2020-03-19;1
260;2020-03-19;1
265;2020-03-19;3
270;2020-03-19;3
326;2020-03-19;2
330;2020-03-19;1
400;2020-03-19;2
410;2020-03-19;1
461;2020-03-19;3
479;2020-03-19;1
540;2020-03-19;1
561;2020-03-19;4
621;2020-03-19;4
630;2020-03-19;2
657;2020-03-19;9
661;2020-03-19;2
665;2020-03-19;2
671;2020-03-19;1
710;2020-03-19;1
740;2020-03-19;1
751;2020-03-19;7
756;2020-03-19;1
787;2020-03-19;1
851;2020-03-19;4
101;2020-03-20;22
147;2020-03-20;3
151;2020-03-20;2
157;2020-03-20;4
159;2020-03-20;1
161;2020-03-20;2
163;2020-03-20;1
165;2020-03-20;1
169;2020-03-20;2
173;2020-03-20;1
175;2020-03-20;1
183;2020-03-20;1
185;2020-03-20;1
187;2020-03-20;1
190;2020-03-20;3
217;2020-03-20;2
219;2020-03-20;1
223;2020-03-20;1
230;2020-03-20;1
240;2020-03-20;1
250;2020-03-20;1
259;2020-03-20;1
316;2020-03-20;2
320;2020-03-20;1
326;2020-03-20;2
330;2020-03-20;8
336;2020-03-20;1
340;2020-03-20;1
350;2020-03-20;1
360;2020-03-20;1
376;2020-03-20;1
400;2020-03-20;2
410;2020-03-20;1
430;2020-03-20;1
450;2020-03-20;1
479;2020-03-20;1
561;2020-03-20;4
575;2020-03-20;1
621;2020-03-20;3
630;2020-03-20;1
657;2020-03-20;1
661;2020-03-20;2
665;2020-03-20;1
671;2020-03-20;1
730;2020-03-20;1
740;2020-03-20;1
751;2020-03-20;1
760;2020-03-20;1
851;2020-03-20;5
101;2020-03-21;6
147;2020-03-21;2
153;2020-03-21;1
157;2020-03-21;2
159;2020-03-21;1
173;2020-03-21;1
183;2020-03-21;1
187;2020-03-21;1
190;2020-03-21;1
217;2020-03-21;2
219;2020-03-21;3
223;2020-03-21;1
230;2020-03-21;1
240;2020-03-21;1
250;2020-03-21;1
259;2020-03-21;1
265;2020-03-21;1
270;2020-03-21;3
316;2020-03-21;1
320;2020-03-21;1
330;2020-03-21;4
450;2020-03-21;1
479;2020-03-21;1
561;2020-03-21;1
607;2020-03-21;1
630;2020-03-21;2
657;2020-03-21;2
661;2020-03-21;1
779;2020-03-21;1
791;2020-03-21;1
820;2020-03-21;1
101;2020-03-22;14
147;2020-03-22;3
157;2020-03-22;4
159;2020-03-22;4
190;2020-03-22;1
217;2020-03-22;2
219;2020-03-22;2
240;2020-03-22;1
259;2020-03-22;1
260;2020-03-22;1
270;2020-03-22;3
306;2020-03-22;1
316;2020-03-22;1
320;2020-03-22;2
326;2020-03-22;1
330;2020-03-22;1
360;2020-03-22;1
370;2020-03-22;2
450;2020-03-22;1
479;2020-03-22;1
561;2020-03-22;1
615;2020-03-22;1
621;2020-03-22;2
657;2020-03-22;1
661;2020-03-22;1
730;2020-03-22;2
751;2020-03-22;3
760;2020-03-22;1
810;2020-03-22;1
846;2020-03-22;1
101;2020-03-23;28
147;2020-03-23;3
151;2020-03-23;2
153;2020-03-23;2
157;2020-03-23;9
159;2020-03-23;2
163;2020-03-23;1
167;2020-03-23;3
169;2020-03-23;1
173;2020-03-23;2
175;2020-03-23;2
185;2020-03-23;2
187;2020-03-23;3
190;2020-03-23;2
201;2020-03-23;1
210;2020-03-23;1
217;2020-03-23;1
223;2020-03-23;4
230;2020-03-23;1
253;2020-03-23;1
259;2020-03-23;3
265;2020-03-23;3
269;2020-03-23;2
270;2020-03-23;2
330;2020-03-23;5
340;2020-03-23;1
360;2020-03-23;1
370;2020-03-23;1
410;2020-03-23;2
420;2020-03-23;1
430;2020-03-23;2
461;2020-03-23;1
479;2020-03-23;1
480;2020-03-23;2
615;2020-03-23;1
621;2020-03-23;2
657;2020-03-23;5
661;2020-03-23;1
671;2020-03-23;1
710;2020-03-23;1
746;2020-03-23;1
751;2020-03-23;6
760;2020-03-23;2
766;2020-03-23;1
779;2020-03-23;1
787;2020-03-23;1
791;2020-03-23;1
820;2020-03-23;1
846;2020-03-23;1
851;2020-03-23;6
860;2020-03-23;1
101;2020-03-24;29
147;2020-03-24;6
153;2020-03-24;3
157;2020-03-24;5
159;2020-03-24;4
161;2020-03-24;1
163;2020-03-24;1
167;2020-03-24;2
169;2020-03-24;1
173;2020-03-24;1
175;2020-03-24;2
185;2020-03-24;1
187;2020-03-24;1
190;2020-03-24;1
210;2020-03-24;2
217;2020-03-24;2
219;2020-03-24;3
230;2020-03-24;1
240;2020-03-24;1
250;2020-03-24;1
253;2020-03-24;1
259;2020-03-24;2
260;2020-03-24;1
265;2020-03-24;3
270;2020-03-24;3
316;2020-03-24;2
329;2020-03-24;2
330;2020-03-24;2
336;2020-03-24;1
340;2020-03-24;3
350;2020-03-24;1
376;2020-03-24;1
400;2020-03-24;2
410;2020-03-24;1
420;2020-03-24;1
430;2020-03-24;1
461;2020-03-24;4
479;2020-03-24;5
530;2020-03-24;1
561;2020-03-24;3
573;2020-03-24;1
580;2020-03-24;1
607;2020-03-24;2
615;2020-03-24;1
621;2020-03-24;1
630;2020-03-24;2
657;2020-03-24;3
671;2020-03-24;1
710;2020-03-24;1
751;2020-03-24;3
756;2020-03-24;2
760;2020-03-24;1
766;2020-03-24;1
779;2020-03-24;1
791;2020-03-24;2
820;2020-03-24;1
851;2020-03-24;6
101;2020-03-25;26
147;2020-03-25;8
151;2020-03-25;2
153;2020-03-25;3
157;2020-03-25;1
159;2020-03-25;3
161;2020-03-25;2
167;2020-03-25;5
169;2020-03-25;1
173;2020-03-25;2
175;2020-03-25;2
185;2020-03-25;1
187;2020-03-25;3
210;2020-03-25;2
217;2020-03-25;3
219;2020-03-25;1
223;2020-03-25;2
230;2020-03-25;2
240;2020-03-25;2
250;2020-03-25;1
253;2020-03-25;3
259;2020-03-25;4
265;2020-03-25;5
269;2020-03-25;2
316;2020-03-25;4
326;2020-03-25;3
329;2020-03-25;1
330;2020-03-25;5
370;2020-03-25;1
390;2020-03-25;1
400;2020-03-25;1
450;2020-03-25;2
461;2020-03-25;1
479;2020-03-25;4
561;2020-03-25;3
607;2020-03-25;2
615;2020-03-25;1
621;2020-03-25;5
630;2020-03-25;2
657;2020-03-25;9
661;2020-03-25;1
707;2020-03-25;1
730;2020-03-25;1
740;2020-03-25;2
746;2020-03-25;2
751;2020-03-25;1
760;2020-03-25;1
791;2020-03-25;3
846;2020-03-25;2
849;2020-03-25;1
851;2020-03-25;4
860;2020-03-25;1
101;2020-03-26;26
147;2020-03-26;7
151;2020-03-26;1
157;2020-03-26;5
159;2020-03-26;7
161;2020-03-26;3
163;2020-03-26;1
165;2020-03-26;1
167;2020-03-26;2
169;2020-03-26;1
173;2020-03-26;1
183;2020-03-26;3
185;2020-03-26;5
187;2020-03-26;3
217;2020-03-26;2
219;2020-03-26;3
223;2020-03-26;2
230;2020-03-26;2
240;2020-03-26;5
250;2020-03-26;3
253;2020-03-26;1
259;2020-03-26;2
265;2020-03-26;2
269;2020-03-26;1
270;2020-03-26;2
316;2020-03-26;2
320;2020-03-26;1
326;2020-03-26;2
330;2020-03-26;2
340;2020-03-26;3
370;2020-03-26;1
376;2020-03-26;2
400;2020-03-26;4
410;2020-03-26;2
440;2020-03-26;1
461;2020-03-26;4
479;2020-03-26;2
540;2020-03-26;1
561;2020-03-26;1
573;2020-03-26;1
575;2020-03-26;2
607;2020-03-26;3
621;2020-03-26;5
630;2020-03-26;1
657;2020-03-26;3
661;2020-03-26;3
707;2020-03-26;1
710;2020-03-26;1
727;2020-03-26;1
740;2020-03-26;2
751;2020-03-26;8
760;2020-03-26;3
773;2020-03-26;1
779;2020-03-26;1
791;2020-03-26;4
810;2020-03-26;2
813;2020-03-26;1
849;2020-03-26;1
851;2020-03-26;7
101;2020-03-27;49
147;2020-03-27;11
151;2020-03-27;5
153;2020-03-27;2
157;2020-03-27;6
159;2020-03-27;4
165;2020-03-27;1
167;2020-03-27;4
169;2020-03-27;5
173;2020-03-27;3
175;2020-03-27;4
185;2020-03-27;1
187;2020-03-27;2
190;2020-03-27;1
201;2020-03-27;2
210;2020-03-27;3
219;2020-03-27;3
223;2020-03-27;3
230;2020-03-27;2
240;2020-03-27;2
250;2020-03-27;2
253;2020-03-27;5
259;2020-03-27;5
260;2020-03-27;1
265;2020-03-27;3
269;2020-03-27;1
270;2020-03-27;3
306;2020-03-27;1
316;2020-03-27;1
326;2020-03-27;2
329;2020-03-27;2
330;2020-03-27;6
360;2020-03-27;1
376;2020-03-27;1
400;2020-03-27;3
430;2020-03-27;1
450;2020-03-27;1
461;2020-03-27;5
479;2020-03-27;4
480;2020-03-27;1
482;2020-03-27;1
550;2020-03-27;1
561;2020-03-27;9
575;2020-03-27;1
580;2020-03-27;1
607;2020-03-27;2
615;2020-03-27;1
621;2020-03-27;2
630;2020-03-27;2
657;2020-03-27;5
661;2020-03-27;4
671;2020-03-27;2
710;2020-03-27;2
730;2020-03-27;1
751;2020-03-27;5
760;2020-03-27;4
787;2020-03-27;2
791;2020-03-27;1
813;2020-03-27;1
846;2020-03-27;1
849;2020-03-27;1
851;2020-03-27;5
101;2020-03-28;52
147;2020-03-28;8
151;2020-03-28;3
155;2020-03-28;1
157;2020-03-28;1
159;2020-03-28;5
161;2020-03-28;1
163;2020-03-28;3
165;2020-03-28;1
167;2020-03-28;3
169;2020-03-28;11
173;2020-03-28;5
175;2020-03-28;4
183;2020-03-28;1
201;2020-03-28;1
210;2020-03-28;1
219;2020-03-28;4
223;2020-03-28;1
230;2020-03-28;1
240;2020-03-28;1
250;2020-03-28;1
253;2020-03-28;1
260;2020-03-28;1
265;2020-03-28;1
269;2020-03-28;2
270;2020-03-28;7
306;2020-03-28;1
320;2020-03-28;3
326;2020-03-28;1
329;2020-03-28;1
330;2020-03-28;6
336;2020-03-28;2
340;2020-03-28;1
370;2020-03-28;3
390;2020-03-28;1
400;2020-03-28;1
420;2020-03-28;1
450;2020-03-28;2
461;2020-03-28;6
479;2020-03-28;1
510;2020-03-28;1
561;2020-03-28;6
573;2020-03-28;1
575;2020-03-28;2
615;2020-03-28;1
630;2020-03-28;3
657;2020-03-28;5
661;2020-03-28;4
740;2020-03-28;1
746;2020-03-28;2
751;2020-03-28;2
760;2020-03-28;4
766;2020-03-28;1
791;2020-03-28;1
810;2020-03-28;2
820;2020-03-28;2
825;2020-03-28;1
846;2020-03-28;1
851;2020-03-28;4
860;2020-03-28;1
101;2020-03-29;40
147;2020-03-29;5
151;2020-03-29;1
153;2020-03-29;2
157;2020-03-29;4
159;2020-03-29;2
161;2020-03-29;5
163;2020-03-29;1
165;2020-03-29;1
167;2020-03-29;3
169;2020-03-29;3
173;2020-03-29;3
175;2020-03-29;2
185;2020-03-29;1
190;2020-03-29;2
210;2020-03-29;1
217;2020-03-29;1
219;2020-03-29;1
223;2020-03-29;3
230;2020-03-29;1
253;2020-03-29;1
259;2020-03-29;2
265;2020-03-29;1
270;2020-03-29;1
330;2020-03-29;3
340;2020-03-29;2
350;2020-03-29;1
370;2020-03-29;3
376;2020-03-29;1
390;2020-03-29;1
420;2020-03-29;1
450;2020-03-29;1
461;2020-03-29;1
550;2020-03-29;1
561;2020-03-29;1
573;2020-03-29;1
607;2020-03-29;1
621;2020-03-29;4
630;2020-03-29;1
706;2020-03-29;2
707;2020-03-29;1
746;2020-03-29;1
751;2020-03-29;1
756;2020-03-29;1
760;2020-03-29;1
791;2020-03-29;1
810;2020-03-29;1
849;2020-03-29;2
851;2020-03-29;5
860;2020-03-29;1
101;2020-03-30;48
147;2020-03-30;17
151;2020-03-30;5
153;2020-03-30;2
155;2020-03-30;1
157;2020-03-30;8
159;2020-03-30;4
161;2020-03-30;4
163;2020-03-30;2
165;2020-03-30;4
167;2020-03-30;7
169;2020-03-30;4
173;2020-03-30;5
175;2020-03-30;5
183;2020-03-30;5
185;2020-03-30;2
187;2020-03-30;2
190;2020-03-30;2
201;2020-03-30;2
210;2020-03-30;1
217;2020-03-30;3
219;2020-03-30;1
223;2020-03-30;3
230;2020-03-30;5
240;2020-03-30;7
250;2020-03-30;3
253;2020-03-30;4
259;2020-03-30;6
260;2020-03-30;1
265;2020-03-30;12
269;2020-03-30;1
270;2020-03-30;3
316;2020-03-30;2
320;2020-03-30;2
326;2020-03-30;2
329;2020-03-30;3
330;2020-03-30;7
340;2020-03-30;3
350;2020-03-30;3
360;2020-03-30;5
370;2020-03-30;3
376;2020-03-30;2
390;2020-03-30;1
400;2020-03-30;5
410;2020-03-30;2
420;2020-03-30;1
430;2020-03-30;1
440;2020-03-30;2
450;2020-03-30;2
461;2020-03-30;8
479;2020-03-30;4
530;2020-03-30;1
540;2020-03-30;1
561;2020-03-30;6
575;2020-03-30;1
580;2020-03-30;1
607;2020-03-30;3
615;2020-03-30;1
621;2020-03-30;1
630;2020-03-30;6
657;2020-03-30;8
661;2020-03-30;8
665;2020-03-30;1
706;2020-03-30;1
710;2020-03-30;1
730;2020-03-30;2
740;2020-03-30;2
746;2020-03-30;1
751;2020-03-30;11
760;2020-03-30;3
787;2020-03-30;1
791;2020-03-30;2
810;2020-03-30;2
820;2020-03-30;1
840;2020-03-30;2
851;2020-03-30;3
860;2020-03-30;2
101;2020-03-31;46
147;2020-03-31;11
151;2020-03-31;6
153;2020-03-31;5
157;2020-03-31;6
159;2020-03-31;6
161;2020-03-31;4
163;2020-03-31;3
167;2020-03-31;3
169;2020-03-31;5
173;2020-03-31;2
175;2020-03-31;1
183;2020-03-31;2
185;2020-03-31;1
187;2020-03-31;4
190;2020-03-31;2
219;2020-03-31;2
230;2020-03-31;1
240;2020-03-31;5
250;2020-03-31;3
253;2020-03-31;2
259;2020-03-31;3
260;2020-03-31;1
265;2020-03-31;2
269;2020-03-31;2
270;2020-03-31;4
316;2020-03-31;2
320;2020-03-31;2
329;2020-03-31;3
330;2020-03-31;9
336;2020-03-31;1
340;2020-03-31;3
350;2020-03-31;3
360;2020-03-31;1
370;2020-03-31;5
420;2020-03-31;1
450;2020-03-31;1
461;2020-03-31;8
479;2020-03-31;2
492;2020-03-31;1
550;2020-03-31;1
561;2020-03-31;4
573;2020-03-31;2
607;2020-03-31;1
621;2020-03-31;2
630;2020-03-31;1
657;2020-03-31;13
661;2020-03-31;15
665;2020-03-31;1
671;2020-03-31;1
706;2020-03-31;1
730;2020-03-31;1
740;2020-03-31;2
751;2020-03-31;6
756;2020-03-31;2
760;2020-03-31;5
791;2020-03-31;3
810;2020-03-31;9
813;2020-03-31;2
820;2020-03-31;3
851;2020-03-31;2
860;2020-03-31;2
101;2020-04-01;44
147;2020-04-01;8
151;2020-04-01;4
153;2020-04-01;2
157;2020-04-01;6
159;2020-04-01;4
161;2020-04-01;4
163;2020-04-01;5
165;2020-04-01;1
167;2020-04-01;13
169;2020-04-01;6
173;2020-04-01;4
175;2020-04-01;6
183;2020-04-01;1
185;2020-04-01;1
187;2020-04-01;1
190;2020-04-01;1
201;2020-04-01;1
217;2020-04-01;5
219;2020-04-01;1
223;2020-04-01;1
230;2020-04-01;8
240;2020-04-01;4
250;2020-04-01;2
259;2020-04-01;2
260;2020-04-01;3
265;2020-04-01;1
269;2020-04-01;1
316;2020-04-01;4
320;2020-04-01;1
326;2020-04-01;2
329;2020-04-01;2
330;2020-04-01;10
340;2020-04-01;1
360;2020-04-01;3
370;2020-04-01;3
376;2020-04-01;2
390;2020-04-01;1
400;2020-04-01;4
410;2020-04-01;3
440;2020-04-01;2
461;2020-04-01;4
479;2020-04-01;4
480;2020-04-01;1
540;2020-04-01;1
550;2020-04-01;2
561;2020-04-01;5
573;2020-04-01;2
575;2020-04-01;1
580;2020-04-01;2
615;2020-04-01;2
621;2020-04-01;4
630;2020-04-01;4
657;2020-04-01;11
661;2020-04-01;9
665;2020-04-01;1
671;2020-04-01;4
740;2020-04-01;6
751;2020-04-01;14
756;2020-04-01;2
760;2020-04-01;2
787;2020-04-01;1
791;2020-04-01;3
810;2020-04-01;1
820;2020-04-01;8
840;2020-04-01;2
851;2020-04-01;4
101;2020-04-02;61
147;2020-04-02;16
151;2020-04-02;7
153;2020-04-02;5
155;2020-04-02;2
157;2020-04-02;5
159;2020-04-02;8
161;2020-04-02;5
163;2020-04-02;5
165;2020-04-02;4
167;2020-04-02;6
169;2020-04-02;4
173;2020-04-02;3
175;2020-04-02;3
183;2020-04-02;2
185;2020-04-02;5
187;2020-04-02;3
190;2020-04-02;3
210;2020-04-02;5
217;2020-04-02;10
219;2020-04-02;3
223;2020-04-02;5
230;2020-04-02;6
240;2020-04-02;2
250;2020-04-02;4
253;2020-04-02;2
259;2020-04-02;9
265;2020-04-02;7
269;2020-04-02;1
270;2020-04-02;3
306;2020-04-02;2
316;2020-04-02;9
320;2020-04-02;1
326;2020-04-02;2
330;2020-04-02;15
336;2020-04-02;1
340;2020-04-02;4
350;2020-04-02;1
360;2020-04-02;3
370;2020-04-02;6
376;2020-04-02;2
400;2020-04-02;2
410;2020-04-02;3
420;2020-04-02;2
430;2020-04-02;1
440;2020-04-02;2
450;2020-04-02;2
461;2020-04-02;7
479;2020-04-02;4
480;2020-04-02;1
492;2020-04-02;1
510;2020-04-02;2
540;2020-04-02;1
550;2020-04-02;1
561;2020-04-02;6
573;2020-04-02;1
580;2020-04-02;1
607;2020-04-02;4
615;2020-04-02;3
621;2020-04-02;6
630;2020-04-02;8
657;2020-04-02;3
661;2020-04-02;7
665;2020-04-02;1
706;2020-04-02;1
730;2020-04-02;3
740;2020-04-02;5
746;2020-04-02;1
751;2020-04-02;16
756;2020-04-02;3
779;2020-04-02;3
791;2020-04-02;4
810;2020-04-02;6
813;2020-04-02;1
820;2020-04-02;7
840;2020-04-02;1
849;2020-04-02;1
851;2020-04-02;9
860;2020-04-02;1
101;2020-04-03;96
147;2020-04-03;11
151;2020-04-03;6
153;2020-04-03;10
155;2020-04-03;1
157;2020-04-03;7
159;2020-04-03;13
161;2020-04-03;8
163;2020-04-03;8
165;2020-04-03;4
167;2020-04-03;17
169;2020-04-03;3
173;2020-04-03;9
175;2020-04-03;5
185;2020-04-03;5
187;2020-04-03;6
190;2020-04-03;2
201;2020-04-03;1
210;2020-04-03;1
217;2020-04-03;5
219;2020-04-03;4
223;2020-04-03;5
230;2020-04-03;2
240;2020-04-03;9
250;2020-04-03;6
