Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     720 (49);     742 (51);   1.462
10-19;   2.071 (49);   2.137 (51);   4.208
20-29;   3.384 (52);   3.105 (48);   6.489
30-39;   2.435 (52);   2.222 (48);   4.657
40-49;   2.843 (54);   2.403 (46);   5.246
50-59;   2.727 (53);   2.462 (47);   5.189
60-69;   1.389 (48);   1.520 (52);   2.909
70-79;     921 (47);   1.028 (53);   1.949
80-89;     640 (56);     504 (44);   1.144
90+;     243 (71);      97 (29);     340
I alt;  17.373 (52);  16.220 (48);  33.593
