Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   4.320 (48);   4.636 (52);   8.956
10-19;  11.846 (48);  12.640 (52);  24.486
20-29;  14.522 (51);  14.089 (49);  28.611
30-39;  10.129 (51);   9.657 (49);  19.786
40-49;  11.618 (53);  10.206 (47);  21.824
50-59;  10.802 (51);  10.204 (49);  21.006
60-69;   5.322 (48);   5.652 (52);  10.974
70-79;   3.277 (49);   3.403 (51);   6.680
80-89;   1.751 (57);   1.344 (43);   3.095
90+;     647 (70);     276 (30);     923
I alt;  74.234 (51);  72.107 (49); 146.341
