Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.311 (48);  10.071 (52);  19.382
10-19;  19.922 (49);  21.020 (51);  40.942
20-29;  24.897 (51);  24.154 (49);  49.051
30-39;  18.372 (51);  17.849 (49);  36.221
40-49;  20.132 (53);  18.017 (47);  38.149
50-59;  18.759 (51);  18.005 (49);  36.764
60-69;   9.602 (49);  10.195 (51);  19.797
70-79;   5.849 (49);   5.994 (51);  11.843
80-89;   3.455 (58);   2.527 (42);   5.982
90+;   1.310 (71);     547 (29);   1.857
I alt; 131.609 (51); 128.379 (49); 259.988
