Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   9.863 (48);  10.702 (52);  20.565
10-19;  21.749 (49);  22.900 (51);  44.649
20-29;  26.751 (50);  26.388 (50);  53.139
30-39;  19.335 (50);  19.031 (50);  38.366
40-49;  21.299 (53);  19.156 (47);  40.455
50-59;  19.636 (51);  19.005 (49);  38.641
60-69;   9.954 (48);  10.608 (52);  20.562
70-79;   5.931 (49);   6.094 (51);  12.025
80-89;   3.474 (58);   2.538 (42);   6.012
90+;   1.315 (70);     551 (30);   1.866
I alt; 139.307 (50); 136.973 (50); 276.280
