Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     446 (49);     462 (51);     908
10-19;   1.206 (50);   1.209 (50);   2.415
20-29;   2.377 (54);   2.016 (46);   4.393
30-39;   1.857 (54);   1.588 (46);   3.445
40-49;   2.132 (56);   1.668 (44);   3.800
50-59;   2.096 (55);   1.734 (45);   3.830
60-69;   1.067 (48);   1.147 (52);   2.214
70-79;     697 (46);     812 (54);   1.509
80-89;     560 (57);     424 (43);     984
90+;     218 (72);      83 (28);     301
I alt;  12.656 (53);  11.143 (47);  23.799
