Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   8.863 (48);   9.582 (52);  18.445
10-19;  18.847 (49);  19.861 (51);  38.708
20-29;  23.705 (51);  22.779 (49);  46.484
30-39;  17.554 (51);  16.937 (49);  34.491
40-49;  19.282 (53);  17.143 (47);  36.425
50-59;  18.076 (51);  17.211 (49);  35.287
60-69;   9.263 (49);   9.807 (51);  19.070
70-79;   5.734 (49);   5.885 (51);  11.619
80-89;   3.432 (58);   2.514 (42);   5.946
90+;   1.306 (71);     545 (29);   1.851
I alt; 126.062 (51); 122.264 (49); 248.326
