Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.375 (48);  11.205 (52);  21.580
10-19;  23.297 (49);  24.622 (51);  47.919
20-29;  28.690 (50);  28.778 (50);  57.468
30-39;  20.244 (50);  20.093 (50);  40.337
40-49;  22.304 (52);  20.191 (48);  42.495
50-59;  20.344 (51);  19.808 (49);  40.152
60-69;  10.161 (48);  10.861 (52);  21.022
70-79;   5.974 (49);   6.144 (51);  12.118
80-89;   3.491 (58);   2.557 (42);   6.048
90+;   1.321 (70);     557 (30);   1.878
I alt; 146.201 (50); 144.816 (50); 291.017
