Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   4.031 (48);   4.318 (52);   8.349
10-19;  11.447 (48);  12.268 (52);  23.715
20-29;  13.951 (51);  13.626 (49);  27.577
30-39;   9.678 (51);   9.307 (49);  18.985
40-49;  11.072 (53);   9.807 (47);  20.879
50-59;  10.263 (51);   9.828 (49);  20.091
60-69;   5.072 (48);   5.433 (52);  10.505
70-79;   3.107 (49);   3.234 (51);   6.341
80-89;   1.634 (57);   1.255 (43);   2.889
90+;     587 (70);     257 (30);     844
I alt;  70.842 (51);  69.333 (49); 140.175
