Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.014 (48);  10.875 (52);  20.889
10-19;  22.196 (49);  23.451 (51);  45.647
20-29;  27.362 (50);  27.216 (50);  54.578
30-39;  19.635 (50);  19.397 (50);  39.032
40-49;  21.631 (53);  19.531 (47);  41.162
50-59;  19.906 (51);  19.311 (49);  39.217
60-69;  10.028 (48);  10.722 (52);  20.750
70-79;   5.945 (49);   6.111 (51);  12.056
80-89;   3.481 (58);   2.545 (42);   6.026
90+;   1.318 (70);     552 (30);   1.870
I alt; 141.516 (50); 139.711 (50); 281.227
