Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;   3.399 (48);   3.637 (52);   7.036
10-19;  10.165 (48);  10.975 (52);  21.140
20-29;  12.328 (50);  12.158 (50);  24.486
30-39;   8.508 (51);   8.287 (49);  16.795
40-49;   9.765 (53);   8.750 (47);  18.515
50-59;   9.055 (51);   8.740 (49);  17.795
60-69;   4.440 (48);   4.784 (52);   9.224
70-79;   2.723 (49);   2.797 (51);   5.520
80-89;   1.438 (56);   1.115 (44);   2.553
90+;     525 (70);     224 (30);     749
I alt;  62.346 (50);  61.467 (50); 123.813
