Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     120 (53);     108 (47);     228
10-19;     259 (55);     215 (45);     474
20-29;     910 (62);     558 (38);   1.468
30-39;     949 (62);     586 (38);   1.535
40-49;   1.170 (60);     772 (40);   1.942
50-59;   1.204 (60);     801 (40);   2.005
60-69;     632 (50);     643 (50);   1.275
70-79;     424 (45);     515 (55);     939
80-89;     426 (57);     325 (43);     751
90+;     175 (73);      66 (27);     241
I alt;   6.269 (58);   4.589 (42);  10.858
