Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  10.398 (48);  11.233 (52);  21.631
10-19;  23.366 (49);  24.697 (51);  48.063
20-29;  28.808 (50);  28.910 (50);  57.718
30-39;  20.304 (50);  20.161 (50);  40.465
40-49;  22.355 (52);  20.251 (48);  42.606
50-59;  20.369 (51);  19.851 (49);  40.220
60-69;  10.170 (48);  10.868 (52);  21.038
70-79;   5.977 (49);   6.147 (51);  12.124
80-89;   3.495 (58);   2.562 (42);   6.057
90+;   1.322 (70);     557 (30);   1.879
I alt; 146.564 (50); 145.237 (50); 291.801
