Dato;Antal_nyindlagte
2020-02-25; 0
2020-02-26; 0
2020-02-27; 0
2020-02-28; 0
2020-02-29; 0
2020-03-01; 1
2020-03-02; 0
2020-03-03; 1
2020-03-04; 0
2020-03-05; 1
2020-03-06; 4
2020-03-07; 0
2020-03-08; 3
2020-03-09; 9
2020-03-10;15
2020-03-11;10
2020-03-12;18
2020-03-13;26
2020-03-14;24
2020-03-15;33
2020-03-16;45
2020-03-17;47
2020-03-18;47
2020-03-19;52
2020-03-20;64
2020-03-21;34
2020-03-22;40
2020-03-23;86
2020-03-24;85
2020-03-25;94
2020-03-26;92
2020-03-27;90
2020-03-28;91
2020-03-29;51
2020-03-30;84
2020-03-31;57
2020-04-01;61
2020-04-02;73
2020-04-03;72
2020-04-04;45
2020-04-05;34
2020-04-06;52
2020-04-07;56
2020-04-08;28
2020-04-09;34
2020-04-10;34
2020-04-11;31
2020-04-12;27
2020-04-13;30
2020-04-14;46
2020-04-15;30
2020-04-16;33
2020-04-17;27
2020-04-18;27
2020-04-19;34
2020-04-20;33
2020-04-21;38
2020-04-22;28
2020-04-23;33
2020-04-24;23
2020-04-25;27
2020-04-26;26
2020-04-27;21
2020-04-28;15
2020-04-29;15
2020-04-30;16
2020-05-01;16
2020-05-02;24
2020-05-03;16
2020-05-04;15
2020-05-05;16
2020-05-06; 6
2020-05-07;15
2020-05-08; 9
2020-05-09;10
2020-05-10;10
2020-05-11; 8
2020-05-12; 7
2020-05-13; 6
