Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;     113 (52);     105 (48);     218
10-19;     250 (55);     207 (45);     457
20-29;     900 (62);     550 (38);   1.450
30-39;     937 (62);     572 (38);   1.509
40-49;   1.160 (60);     762 (40);   1.922
50-59;   1.192 (60);     796 (40);   1.988
60-69;     625 (50);     635 (50);   1.260
70-79;     418 (45);     509 (55);     927
80-89;     422 (57);     323 (43);     745
90+;     173 (73);      64 (27);     237
I alt;   6.190 (58);   4.523 (42);  10.713
