Aldersgruppe;Kvinder_(procent);Mænd_(procent);I_alt
0-9;  17.670 (49);  18.640 (51);  36.310
10-19;  34.816 (49);  35.792 (51);  70.608
20-29;  41.168 (49);  42.761 (51);  83.929
30-39;  28.947 (50);  28.525 (50);  57.472
40-49;  29.975 (53);  27.020 (47);  56.995
50-59;  25.097 (51);  24.595 (49);  49.692
60-69;  12.977 (49);  13.541 (51);  26.518
70-79;   8.070 (50);   8.207 (50);  16.277
80-89;   4.236 (57);   3.237 (43);   7.473
90+;   1.502 (70);     641 (30);   2.143
I alt; 204.458 (50); 202.959 (50); 407.417
