Aldersgruppe;Uge 44_Ingen vaccination;Uge 44_Første vaccination;Uge 44_Anden vaccination;Uge 44_Fuld vaccineeffekt;Uge 43_Ingen vaccination;Uge 43_Første vaccination;Uge 43_Anden vaccination;Uge 43_Fuld vaccineeffekt;Uge 42_Ingen vaccination;Uge 42_Første vaccination;Uge 42_Anden vaccination;Uge 42_Fuld vaccineeffekt;Uge 41_Ingen vaccination;Uge 41_Første vaccination;Uge 41_Anden vaccination;Uge 41_Fuld vaccineeffekt;Uge 40_Ingen vaccination;Uge 40_Første vaccination;Uge 40_Anden vaccination;Uge 40_Fuld vaccineeffekt;Uge 39_Ingen vaccination;Uge 39_Første vaccination;Uge 39_Anden vaccination;Uge 39_Fuld vaccineeffekt;Uge 38_Ingen vaccination;Uge 38_Første vaccination;Uge 38_Anden vaccination;Uge 38_Fuld vaccineeffekt;Uge 37_Ingen vaccination;Uge 37_Første vaccination;Uge 37_Anden vaccination;Uge 37_Fuld vaccineeffekt;Uge 36_Ingen vaccination;Uge 36_Første vaccination;Uge 36_Anden vaccination;Uge 36_Fuld vaccineeffekt;Uge 35_Ingen vaccination;Uge 35_Første vaccination;Uge 35_Anden vaccination;Uge 35_Fuld vaccineeffekt;Uge 34_Ingen vaccination;Uge 34_Første vaccination;Uge 34_Anden vaccination;Uge 34_Fuld vaccineeffekt;Uge 33_Ingen vaccination;Uge 33_Første vaccination;Uge 33_Anden vaccination;Uge 33_Fuld vaccineeffekt;Uge 32_Ingen vaccination;Uge 32_Første vaccination;Uge 32_Anden vaccination;Uge 32_Fuld vaccineeffekt;Uge 31_Ingen vaccination;Uge 31_Første vaccination;Uge 31_Anden vaccination;Uge 31_Fuld vaccineeffekt;Uge 30_Ingen vaccination;Uge 30_Første vaccination;Uge 30_Anden vaccination;Uge 30_Fuld vaccineeffekt;Uge 29_Ingen vaccination;Uge 29_Første vaccination;Uge 29_Anden vaccination;Uge 29_Fuld vaccineeffekt
12-15;861,4;452;75,3;76,1;667,8;189,1;46,2;46,9;474,5;197,3;30,5;30,4;285,9;70,2;17,7;17,3;277,8;77,2;9,6;10,2;197,4;80,7;9,3;7,7;203,7;64,9;4,9;4,3;171,7;40,9;2,6;2,6;204,6;70,8;11,6;7,4;349,4;119,9;22,4;19,6;474,4;144,2;49,4;33;509,4;136,1;74,2;34,3;365,5;136;156,9;130,7;268,1;97,9;244,4;0;170,8;97,5;0;0;130,9;116,1;0;0
16-19;606,9;324;148,1;148,3;648,3;206,5;124,7;124,4;404,4;110,4;60,3;59,8;232,6;190,3;35,4;35,3;194,2;64,7;31,2;31,5;185,1;58;13,9;14,1;137,8;88,5;14,9;15,2;145,2;32,8;6,2;5,4;261,4;46,4;17,5;16,2;300;188,9;24,6;24,5;505,1;209,4;34,1;32,4;623,8;196,3;48,1;44,7;680,7;230,5;65,2;54;647;257,7;77,6;48,9;523,8;312,8;111,3;89,8;376,8;218,2;129,1;123,9
20-29;532,8;280,8;179;179,5;512,2;256,9;144,4;145,2;359,9;177,1;89;88,6;207,9;113,9;52,5;52,9;171,5;81,3;33,6;33,7;127,9;65,6;24,5;24,7;111,6;50,1;15,9;15,3;112,7;48,8;19,5;19,4;167,7;104,5;29;30,7;213,4;101,2;36,5;38,1;302,5;100;40,8;46,5;382,9;115,4;67,5;74,4;492,3;163,5;110,4;109;436,1;182,1;172,1;167,7;394,4;287,8;241;200,4;295;292,7;245,9;184,7
30-39;570,3;426,8;214,4;214,2;462,9;312,9;159,8;160,3;403,4;219,8;122,2;123;208,9;77,1;63,3;63,6;187,4;156;46,9;46,5;142,2;117,9;36;35,8;118,1;81,5;31,3;31,8;111,1;80,1;26,3;26,3;178,1;120,6;35;35,8;227,5;105,1;48,5;51,5;288,1;137,8;61,5;81;333,9;107,6;76,6;107,3;303,6;91,1;98;98,4;264,3;90,8;87,8;94;182;103,2;102,9;108,5;124,1;99,7;65,4;69,1
40-49;602,1;485,3;262,6;262,7;500,9;371,5;204,4;204,4;372;258,1;159,6;159,9;254;207,2;84,6;84,9;184;170,2;60,4;60,6;153,8;143,8;42,7;42,9;128,6;71,2;32,5;32,8;102,3;46;25,2;25,3;145,1;154,7;34,2;34,5;222,4;205,3;55,1;54,9;331,1;204,3;72,9;72,2;308,9;219,9;56;56,6;286,9;170,5;61;54,2;274,3;134;47,1;51,1;192,7;85,6;47,3;48,5;103,1;58,1;47,2;47,6
50-59;399,2;438,2;191,8;191,6;366,1;198,7;154,3;154,4;226;279,8;113,3;113,5;126,9;103,4;54,4;54,4;109,1;58,6;41,8;41,3;140,6;54,7;28,5;28,3;90,7;66;21,2;21,1;81,5;59,5;17,3;17,1;131,6;159,3;25,2;24,7;162,2;80,6;38,5;38,4;217,8;215,3;40;39,8;206,9;156,2;38,7;38,3;207,1;173,7;32,7;32,3;192;153,6;28,3;28,4;128,5;93,9;24;26,1;76,3;51,9;18,1;17,4
60-64;363,9;78,4;173,4;173,5;265,2;156,4;141;141,1;174,1;302,8;105,3;105,4;139,7;0;53,3;53,4;94,5;272,3;32,4;32,5;82,8;318,7;21,8;21,9;65,8;115,2;15,8;15,8;59,7;106;20;20,1;112,7;149,3;24,3;24,4;84,7;0;29,5;29,6;119,7;78,1;29;28,8;133;218,6;29,3;29,3;135,7;68,3;27;26,9;83,9;75,4;19,1;18,7;86,6;108,3;20,1;20;37,3;54,1;9,1;8,7
65-69;152,6;255,4;156,7;156,8;207,5;385,6;132,2;132,3;103,1;129;94;94,1;71;362,3;49,6;49,7;86,4;0;35,3;35;62,4;216,5;24,2;24,2;69,6;197,2;16,3;16,4;30,7;88,7;13,4;13,4;68,3;83,5;16,4;16,4;82,6;0;23,9;23,9;118,1;138,8;25,9;25,6;65,4;228,7;31,5;31,6;57,3;0;19,4;18,8;35,3;35,5;20,8;20,9;55,4;147,9;11,9;11,7;20,3;0;14,6;14,8
70-79;144,5;206,6;153,3;153,2;143,4;210,1;138;138,1;130,8;204,5;115,4;115,5;29,6;0;49,5;49,3;29,4;90,5;31,9;31,9;35;257,7;21,3;21,3;40,5;154,9;23,1;23,1;40,1;72,1;15;15,1;22,7;135;21,1;21,2;50,4;63,2;20,8;20,8;66;118,6;26,5;26,6;65,1;0;19,5;19,4;21,4;0;18,1;18;26,4;33,4;12,6;12,4;10,4;0;10,8;10,8;20,3;0;6,8;6,9
80+;143,2;126,6;109,5;109,5;131,2;122,2;92,8;92,8;108,4;236,4;78,3;78,3;107,7;113,1;33,5;33,6;21,4;328,2;29,4;29,5;42,4;210,3;18,4;18,4;31,4;0;27,9;27,9;20,6;0;18;18;30,6;0;24,6;24,6;110,9;170,9;25,6;24,9;89,3;83,1;23,8;23,8;29,4;0;23,4;23,4;67,8;129,2;17,1;17,2;0;0;13,1;13,1;9,4;0;9,1;9,1;18,6;0;11,6;11,7
12+;554,7;371,3;182,4;182,5;485,9;262,5;146,6;146,9;356,9;204;108;108,2;207,6;112,8;54,9;55;176,3;111,6;39;39;141,8;98,2;27,1;27,1;121,7;70;22,4;22,5;111,7;55,4;18,4;18,4;165,8;104;26,1;26,2;225,8;118,6;35,7;35,9;315,8;139,8;42,4;42,5;357,9;129,9;43,7;41,2;360;134,3;45,4;37,4;312,4;136;41,3;32,8;241,9;173,3;40,7;29,5;172,4;153,9;30,4;22,5
